ticket,order,position_id,time,time_msc,type,entry,magic,volume,price,profit,commission,swap,fee,comment,reason,symbol
127275128,0,0,2026-09-08T19:32:29+00:00,1788895949553,2,0,0,0.0,0.0,200.0,0.0,0.0,0.0,D-ALLINT-USD-INT-1053874233349,0,
127285075,133722822,133722822,2026-09-08T20:11:10+00:00,1788898270267,0,0,909101,0.02,78615.51,0.0,0.0,0.0,0.0,KL-BOS,3,BTCUSD
127320061,0,133722822,2026-09-09T01:12:30+00:00,1788916350382,1,1,909101,0.02,78854.15,4.77,0.0,0.0,0.0,[tp 78854.15000],5,BTCUSD
127324425,133762968,133762968,2026-09-09T01:38:00+00:00,1788917880725,0,0,909101,0.02,78873.1,0.0,0.0,0.0,0.0,KL-BOS,3,BTCUSD
127335707,133774070,133762968,2026-09-09T03:10:27+00:00,1788923427794,1,1,909101,0.02,78621.82,-5.02,0.0,0.0,0.0,[sl 78621.82],4,BTCUSD
127337143,133775535,133775535,2026-09-09T03:27:01+00:00,1788924421527,1,0,909101,0.05,78533.91,0.0,0.0,0.0,0.0,KL-BOS,3,BTCUSD
127338085,0,133775535,2026-09-09T03:41:00+00:00,1788925260989,0,1,909101,0.05,78621.98,-4.4,0.0,0.0,0.0,[sl 78621.33000],4,BTCUSD
127339620,133778029,133778029,2026-09-09T04:01:01+00:00,1788926461553,0,0,909101,0.03,78769.73,0.0,0.0,0.0,0.0,KL-BOS,3,BTCUSD
127340067,0,133778029,2026-09-09T04:04:28+00:00,1788926668293,1,1,909101,0.03,78922.12,4.57,0.0,0.0,0.0,[tp 78922.12000],5,BTCUSD
127345056,133783244,133783244,2026-09-09T04:44:01+00:00,1788929041476,0,0,909101,0.02,79155.33,0.0,0.0,0.0,0.0,KL-BOS,3,BTCUSD
127397983,0,133783244,2026-09-09T08:09:40+00:00,1788941380225,1,1,909101,0.02,79498.66,6.86,0.0,0.0,0.0,[tp 79498.66000],5,BTCUSD
127454411,133892615,133892615,2026-09-09T11:02:02+00:00,1788951722362,1,0,909101,0.02,78830.02,0.0,0.0,0.0,0.0,KL-BOS,3,BTCUSD
127471112,133908659,133892615,2026-09-09T11:49:06+00:00,1788954546536,0,1,909101,0.02,79158.94,-6.58,0.0,0.0,0.0,[sl 79157.76],4,BTCUSD
127493996,133930808,133930808,2026-09-09T12:32:01+00:00,1788957121218,0,0,909101,0.04,79468.33,0.0,0.0,0.0,0.0,KL-BOS,3,BTCUSD
127502200,0,133930808,2026-09-09T12:50:01+00:00,1788958201821,1,1,909101,0.04,79614.64,5.86,0.0,0.0,0.0,[tp 79614.64000],5,BTCUSD
127527491,133962972,133962972,2026-09-09T13:32:35+00:00,1788960755232,0,0,909101,0.04,79669.32,0.0,0.0,0.0,0.0,KL-BOS,3,BTCUSD
127528296,133963769,133963769,2026-09-09T13:33:41+00:00,1788960821189,0,0,909101,0.02,79549.95,0.0,0.0,0.0,0.0,KL-BOS-ADD,3,BTCUSD
127530059,0,133962972,2026-09-09T13:36:03+00:00,1788960963866,1,1,909101,0.04,79434.15,-9.4,0.0,0.0,0.0,[sl 79434.15000],4,BTCUSD
127530062,133965505,133963769,2026-09-09T13:36:03+00:00,1788960963875,1,1,909101,0.02,79431.61,-2.37,0.0,0.0,0.0,[sl 79434.15],4,BTCUSD
127535895,133971160,133971160,2026-09-09T13:43:02+00:00,1788961382116,1,0,909101,0.02,79145.03,0.0,0.0,0.0,0.0,KL-BOS,3,BTCUSD
