trade_no,open_time,close_time,entry_type,dir,lot,entry,sl,tp,risk_usd,add_lot,add_level,result,pnl,close_lot,debt_after,chest_after,bot_net_after
1,2026-09-10T01:06:03.847480+00:00,2026-09-10T01:33:02.205739+00:00,FLIP-BOS ENTRY,BUY,0.02,78373.93,78085.26,78604.87,5.77,,,LOSS,-5.86,0.02,2.93,0.00,-5.86
2,2026-09-10T03:03:26.420557+00:00,2026-09-10T07:33:42.303816+00:00,TOUCH ENTRY,BUY,0.02,78433.93,77935.07,78833.02,9.98,,,LOSS,-9.98,0.02,7.92,0.00,-15.84
3,2026-09-10T12:30:38.414534+00:00,2026-09-10T12:30:41.425320+00:00,TOUCH ENTRY,SELL,0.02,77378.20,77804.35,77037.28,8.52,,,WIN,+6.32,0.02,1.60,0.00,-9.52
4,,2026-09-10T12:39:04.240878+00:00,,,,,,,,,,WIN,+6.86,0.02,0.00,5.26,-2.66
5,2026-09-10T14:29:03.046652+00:00,2026-09-10T16:09:02.213689+00:00,FLIP-BOS ENTRY,BUY,0.02,77344.31,76922.34,77681.89,8.44,,,LOSS,-8.44,0.02,4.22,5.26,-11.10
5,,2026-09-10T16:09:02.213689+00:00,,,,,,,,,,ADD,-4.12,0.02,6.28,1.14,-15.22
6,2026-09-10T16:17:11.936485+00:00,2026-09-10T16:20:57.174283+00:00,TOUCH ENTRY,SELL,0.03,76879.37,76972.69,76804.71,2.80,,,LOSS,-3.10,0.03,7.83,0.11,-18.32
6,,2026-09-10T16:20:57.174793+00:00,,,,,,,,,,ADD,-0.85,0.02,8.26,0.00,-19.17
7,2026-09-10T16:34:15.998066+00:00,2026-09-10T16:41:01.120371+00:00,TOUCH ENTRY,SELL,0.02,76833.22,77013.28,76689.17,3.60,,,LOSS,-3.38,0.02,9.95,0.00,-22.55
8,2026-09-10T16:46:01.831494+00:00,2026-09-10T16:47:14.106784+00:00,FLIP-BOS ENTRY,BUY,0.02,77056.07,76928.18,77158.38,2.56,,,WIN,+2.05,0.02,7.90,0.00,-20.50
9,2026-09-10T16:58:36.070806+00:00,2026-09-10T17:25:12.253319+00:00,TOUCH ENTRY,BUY,0.02,77163.12,77031.85,77268.14,2.63,,,WIN,+2.09,0.02,5.81,0.00,-18.41
10,2026-09-10T22:37:02.765552+00:00,2026-09-10T23:08:56.304923+00:00,FLIP-BOS ENTRY,SELL,0.02,76919.01,77321.27,76597.20,8.05,,,WIN,+6.44,0.02,0.00,0.63,-11.97
1,2026-09-10T23:08:57.040808+00:00,2026-09-11T00:54:23.349559+00:00,TOUCH ENTRY,SELL,0.02,76575.08,76855.89,76350.43,5.62,,,LOSS,-5.34,0.02,2.67,0.00,-5.34
2,2026-09-11T01:01:02.973830+00:00,2026-09-11T01:02:23.246549+00:00,FLIP-BOS ENTRY,BUY,0.02,76907.35,76845.49,76956.84,1.24,,,WIN,+0.98,0.02,1.69,0.00,-4.36
3,2026-09-11T01:22:41.330419+00:00,2026-09-11T01:54:53.336162+00:00,FLIP-BOS ENTRY,SELL,0.02,76770.40,76927.09,76645.05,3.13,,,LOSS,-3.22,0.02,3.30,0.00,-7.58
4,2026-09-11T02:05:02.896440+00:00,2026-09-11T02:07:14.198426+00:00,FLIP-BOS ENTRY,BUY,0.02,76964.89,76885.31,77028.55,1.59,,,LOSS,-1.70,0.02,4.15,0.00,-9.28
5,2026-09-11T02:14:23.835146+00:00,2026-09-11T02:18:05.226931+00:00,TOUCH ENTRY,BUY,0.02,76967.68,76859.18,77054.48,2.17,,,LOSS,-2.15,0.02,5.23,0.00,-11.43
6,2026-09-11T02:19:02.786714+00:00,2026-09-11T02:26:52.322806+00:00,FLIP-BOS ENTRY,SELL,0.02,76850.95,76955.41,76767.38,2.09,,,WIN,+1.67,0.02,3.56,0.00,-9.76
7,2026-09-11T03:05:28.792631+00:00,2026-09-11T04:01:21.251169+00:00,TOUCH ENTRY,SELL,0.02,76738.15,76898.72,76609.69,3.21,,,LOSS,-3.20,0.02,5.16,0.00,-12.96
8,2026-09-11T04:21:50.103179+00:00,2026-09-11T04:25:54.316325+00:00,FLIP-BOS ENTRY,BUY,0.02,76981.69,76864.61,77075.35,2.34,,,WIN,+1.89,0.02,3.27,0.00,-11.07
9,2026-09-11T05:39:20.066380+00:00,2026-09-11T06:13:12.237632+00:00,TOUCH ENTRY,BUY,0.02,77165.21,77031.19,77272.43,2.68,,,WIN,+2.15,0.02,1.12,0.00,-8.92
10,2026-09-11T08:09:03.780935+00:00,2026-09-11T08:24:27.349642+00:00,FLIP-BOS ENTRY,SELL,0.02,77119.62,77362.18,76925.57,4.85,,,LOSS,-5.09,0.02,3.67,0.00,-14.01
11,2026-09-11T09:34:07.932505+00:00,2026-09-11T11:09:41.414116+00:00,TOUCH ENTRY,SELL,0.02,77083.75,77474.31,76771.30,7.81,,,WIN,+6.38,0.02,0.00,2.71,-7.63
12,2026-09-11T11:58:41.737094+00:00,2026-09-11T12:02:54.579181+00:00,FLIP-BOS ENTRY,BUY,0.02,76978.95,76851.81,77080.66,2.54,,,WIN,+1.81,0.02,0.00,4.52,-5.82
