trade_no,open_time,close_time,entry_type,dir,lot,entry,sl,tp,risk_usd,add_lot,add_level,result,pnl,close_lot,debt_after,chest_after,bot_net_after
1,2026-09-08T20:11:11.696875+00:00,2026-09-09T01:12:34.261897+00:00,BOS ENTRY,BUY,0.02,78613.78,78313.32,78854.15,6.01,,,WIN,+4.77,0.02,0.00,4.77,+4.77
2,,2026-09-09T01:12:44.279444+00:00,,,,,,,,,,WIN,+4.77,0.02,0.00,5.00,+9.54
3,,2026-09-09T01:12:54.299729+00:00,,,,,,,,,,WIN,+4.77,0.02,0.00,5.00,+14.31
4,,2026-09-09T01:13:05.206304+00:00,,,,,,,,,,WIN,+4.77,0.02,0.00,5.00,+19.08
2,,2026-09-09T01:13:43.844231+00:00,,,,,,,,,,WIN,+4.77,0.02,0.00,5.00,+9.54
4,2026-09-09T04:01:03.862405+00:00,2026-09-09T04:04:31.265902+00:00,BOS ENTRY,BUY,0.03,78772.20,78584.80,78922.12,5.62,,,WIN,+4.57,0.03,2.21,2.13,-0.08
5,2026-09-09T04:44:03.861301+00:00,2026-09-09T08:09:47.347158+00:00,BOS ENTRY,BUY,0.02,79157.44,78730.91,79498.66,8.53,,,WIN,+6.86,0.02,0.00,5.00,+6.78
7,2026-09-09T12:32:01.768596+00:00,2026-09-09T12:50:07.231939+00:00,FLIP-BOS ENTRY,BUY,0.04,79468.33,79285.44,79614.64,7.32,,,WIN,+5.86,0.04,0.72,5.00,+6.06
9,2026-09-09T13:43:02.986715+00:00,2026-09-09T14:01:36.363071+00:00,FLIP-BOS ENTRY,SELL,0.02,79174.42,79447.71,78955.79,5.47,,,WIN,+3.78,0.02,1.64,0.00,-1.93
11,2026-09-09T15:01:34.105854+00:00,2026-09-09T15:07:19.340951+00:00,TOUCH ENTRY,SELL,0.02,78863.52,79372.01,78456.73,10.17,,,WIN,+8.27,0.02,0.00,0.51,+0.22
14,2026-09-09T16:23:03.292205+00:00,2026-09-09T16:30:25.332321+00:00,FLIP-BOS ENTRY,SELL,0.02,78468.16,78653.26,78320.08,3.70,,,LOSS,-3.71,0.02,20.51,0.51,-14.45
15,2026-09-09T21:06:03.942004+00:00,2026-09-09T21:50:03.204373+00:00,FLIP-BOS ENTRY,BUY,0.02,78330.30,78080.22,78530.36,5.00,,,LOSS,-5.03,0.02,25.54,0.51,-19.48
16,2026-09-09T22:08:04.357025+00:00,2026-09-09T23:10:25.264844+00:00,FLIP-BOS ENTRY,SELL,0.02,77941.01,78179.64,77750.11,4.77,,,LOSS,-5.20,0.02,30.74,0.51,-24.68
17,2026-09-10T01:06:04.139042+00:00,2026-09-10T01:33:02.219659+00:00,FLIP-BOS ENTRY,BUY,0.02,78373.93,78085.26,78604.87,5.77,,,LOSS,-5.80,0.02,36.54,0.51,-30.48
18,2026-09-10T03:03:26.792605+00:00,2026-09-10T07:33:42.328688+00:00,TOUCH ENTRY,BUY,0.02,78433.93,77935.07,78833.02,9.98,,,LOSS,-9.92,0.02,46.46,0.51,-40.40
19,2026-09-10T12:30:38.493774+00:00,2026-09-10T12:30:41.582176+00:00,TOUCH ENTRY,SELL,0.02,77378.56,77804.30,77037.97,8.51,,,WIN,+6.18,0.02,40.28,0.51,-34.22
20,,2026-09-10T12:39:04.240878+00:00,,,,,,,,,,WIN,+7.22,0.02,33.06,0.51,-27.00
21,2026-09-10T14:29:03.197006+00:00,2026-09-10T16:09:02.213181+00:00,FLIP-BOS ENTRY,BUY,0.02,77344.31,76922.35,77681.88,8.44,,,LOSS,-8.44,0.02,41.50,0.51,-35.44
22,2026-09-10T16:17:12.464398+00:00,2026-09-10T16:20:56.626425+00:00,TOUCH ENTRY,SELL,0.02,76879.37,76972.69,76804.71,1.87,0.01,76926.03,LOSS,-2.03,0.02,43.53,0.51,-37.47
22,,2026-09-10T16:20:56.626425+00:00,,,,,,,,,,ADD,-0.39,0.01,43.92,0.12,-37.86
23,2026-09-10T16:34:16.124490+00:00,2026-09-10T16:41:01.120371+00:00,TOUCH ENTRY,SELL,0.02,76833.22,77013.29,76689.16,3.60,,,LOSS,-3.38,0.02,47.30,0.12,-41.24
24,2026-09-10T16:46:02.153035+00:00,2026-09-10T16:47:15.267220+00:00,FLIP-BOS ENTRY,BUY,0.02,77056.07,76928.18,77158.38,2.56,,,WIN,+2.05,0.02,45.25,0.12,-39.19
25,2026-09-10T16:58:36.214685+00:00,2026-09-10T17:25:14.275969+00:00,TOUCH ENTRY,BUY,0.02,77163.12,77031.86,77268.13,2.63,,,WIN,+2.09,0.02,43.16,0.12,-37.10
26,2026-09-10T22:37:03.191999+00:00,2026-09-10T23:08:56.288523+00:00,FLIP-BOS ENTRY,SELL,0.02,76918.74,77321.27,76596.72,8.05,,,WIN,+6.38,0.02,36.78,0.12,-30.72
