trade_no,open_time,close_time,entry_type,dir,lot,entry,sl,tp,risk_usd,add_lot,add_level,result,pnl,close_lot,debt_after,chest_after,bot_net_after
1,2026-09-10T03:03:26.420557+00:00,2026-09-10T07:33:42.328688+00:00,TOUCH ENTRY,BUY,0.06,78433.93,77935.07,78833.02,29.93,,,LOSS,-29.93,0.06,29.93,0.00,-29.93
2,2026-09-10T11:00:16.012290+00:00,2026-09-10T11:15:38.353294+00:00,TOUCH ENTRY,SELL,0.06,77808.88,78019.22,77640.61,12.62,,,LOSS,-12.36,0.06,42.29,0.00,-42.29
3,2026-09-10T14:46:56.506970+00:00,2026-09-10T15:02:59.481964+00:00,TOUCH ENTRY,BUY,0.06,77349.43,77211.12,77460.08,8.30,,,LOSS,-8.90,0.06,51.19,0.00,-51.19
4,2026-09-10T16:17:11.848735+00:00,2026-09-10T16:20:55.497268+00:00,TOUCH ENTRY,SELL,0.06,76879.37,76972.69,76804.71,5.60,,,LOSS,-6.21,0.06,57.40,0.00,-57.40
5,2026-09-10T16:58:36.066792+00:00,2026-09-10T17:25:14.269660+00:00,TOUCH ENTRY,BUY,0.06,77163.12,77031.85,77268.14,7.88,,,WIN,+6.28,0.06,51.12,0.00,-51.12
6,2026-09-10T22:59:03.746338+00:00,2026-09-10T23:04:21.269335+00:00,TOUCH ENTRY,SELL,0.06,76816.25,76951.19,76708.30,8.10,,,WIN,+6.48,0.06,44.64,0.00,-44.64
1,2026-09-11T01:30:52.043176+00:00,2026-09-11T01:36:12.273328+00:00,TOUCH ENTRY,SELL,0.06,76746.37,76882.88,76637.16,8.19,,,LOSS,-8.53,0.06,8.53,0.00,-8.53
2,2026-09-11T02:14:24.032348+00:00,2026-09-11T02:18:10.238893+00:00,TOUCH ENTRY,BUY,0.06,76967.68,76859.18,77054.48,6.51,,,LOSS,-6.45,0.06,14.98,0.00,-14.98
3,2026-09-11T02:24:11.895236+00:00,2026-09-11T02:26:48.316452+00:00,TOUCH ENTRY,SELL,0.06,76824.57,76884.78,76776.40,3.61,,,WIN,+2.89,0.06,12.09,0.00,-12.09
4,2026-09-11T05:39:19.933766+00:00,2026-09-11T06:13:12.237632+00:00,TOUCH ENTRY,BUY,0.06,77165.21,77031.19,77272.43,8.04,,,WIN,+6.44,0.06,5.65,0.00,-5.65
5,2026-09-11T09:34:07.934513+00:00,2026-09-11T11:09:41.348706+00:00,TOUCH ENTRY,SELL,0.06,77083.75,77474.31,76771.30,23.43,,,WIN,+18.75,0.06,0.00,10.00,+13.10
