ticket,direction,volume,entry_time_utc,entry_price,exit_time_utc,exit_price,duration_min,profit_usd,exit_reason,worst_drawdown_usd,worst_drawdown_pts,best_profit_usd,time_to_worst_min,time_to_best_min,hour_id,positions_open_at_entry,entry_atr14_h1,entry_atr14_m1,entry_balance,entry_ema200_m1,entry_ema20_h1,entry_ema20_m1,entry_ema50_h1,entry_ema50_m1,entry_equity,entry_h1_body_pts,entry_h1_candle,entry_h1_downwick_pts,entry_h1_forming,entry_h1_higher_high,entry_h1_lower_low,entry_h1_upwick_pts,entry_m15_candle,entry_m15_forming,entry_m1_body_pts,entry_m1_candle,entry_m1_downwick_pts,entry_m1_high_minus_prevhigh,entry_m1_low_minus_prevlow,entry_m1_upwick_pts,entry_m5_candle,entry_m5_forming,entry_minute_of_hour,entry_price_ask,entry_price_bid,entry_px_vs_ema200_m1,entry_px_vs_ema20_h1,entry_px_vs_ema20_m1,entry_px_vs_ema50_h1,entry_px_vs_ema50_m1,entry_range24h_pct,entry_rsi14_h1,entry_rsi14_m1,entry_spread_pts,exit_atr14_h1,exit_atr14_m1,exit_balance,exit_ema200_m1,exit_ema20_h1,exit_ema20_m1,exit_ema50_h1,exit_ema50_m1,exit_equity,exit_h1_body_pts,exit_h1_candle,exit_h1_downwick_pts,exit_h1_forming,exit_h1_higher_high,exit_h1_lower_low,exit_h1_upwick_pts,exit_m15_candle,exit_m15_forming,exit_m1_body_pts,exit_m1_candle,exit_m1_downwick_pts,exit_m1_high_minus_prevhigh,exit_m1_low_minus_prevlow,exit_m1_upwick_pts,exit_m5_candle,exit_m5_forming,exit_minute_of_hour,exit_price_ask,exit_price_bid,exit_px_vs_ema200_m1,exit_px_vs_ema20_h1,exit_px_vs_ema20_m1,exit_px_vs_ema50_h1,exit_px_vs_ema50_m1,exit_range24h_pct,exit_rsi14_h1,exit_rsi14_m1,exit_spread_pts,entry_user_sl,entry_user_tp,final_user_sl,final_user_tp
1042293354,BUY,0.02,2026-08-20T16:06:49,72434.90000000001,2026-08-20T16:40:03,72439.9,33.2,0.1,tp,-5.59,-279.3,3.78,,,,,706.53,72.04,75.88,72059.07,70341.93,72325.93,68124.42,72310.83,75.35,636.77,green,48.92,,True,False,380.41,,,72.14,green,0.0,108.32,46.6,46.76,,,,72367.28,72357.28,above,above,above,above,above,6.926,,,10.0,706.53,68.08,75.98,72066.55,70341.93,72345.89,68124.42,72320.52,78.53,636.77,green,48.92,,True,False,380.41,,,39.52,green,5.25,25.52,41.77,0.0,,,,72443.79,72433.79,above,above,above,above,above,6.919,,,10.0,,,,
1042299467,BUY,0.02,2026-08-20T16:19:10,72306.34,2026-08-20T16:40:30,72456.34,21.3,3.0,tp,-1.34,-66.9,6.35,,,,,706.53,72.04,75.88,72059.07,70341.93,72325.93,68124.42,72310.83,75.35,636.77,green,48.92,,True,False,380.41,,,72.14,green,0.0,108.32,46.6,46.76,,,,72367.28,72357.28,above,above,above,above,above,6.926,,,10.0,706.53,69.31,78.98,72066.8,70341.93,72348.23,68124.42,72321.48,78.98,636.77,green,48.92,,True,False,380.41,,,39.52,green,5.25,25.52,41.77,0.0,,,,72468.42,72458.42,above,above,above,above,above,6.917,,,10.0,,,,
1042321087,BUY,0.02,2026-08-20T17:13:55,72651.75,2026-08-20T17:29:12,72801.75,15.3,3.0,tp,-2.39,-119.5,3.57,,,,,728.65,96.5,78.98,72232.0,70575.98,72657.59,68307.87,72571.98,78.73,380.67,green,263.37,,True,False,90.32,,,84.06,green,2.71,71.07,69.39,0.4,,,,72651.75,72641.75,above,above,below,above,above,7.02,,,10.0,728.65,71.08,81.98,72298.98,70575.98,72694.55,68307.87,72628.14,81.98,380.67,green,263.37,,True,False,90.32,,,60.83,green,2.2,0.66,3.99,0.0,,,,72810.55,72800.55,above,above,above,above,above,7.005,,,10.0,,,,
1042362563,BUY,0.02,2026-08-20T19:09:57,72452.33,2026-08-20T19:24:48,72602.33,14.8,3.0,tp,-1.24,-61.8,3.34,,,,,722.29,67.58,81.98,72464.18,70935.26,72423.96,68634.93,72482.7,78.53,305.48,red,44.32,,False,True,80.57,,,10.04,red,4.05,-43.6,9.39,33.46,,,,72452.33,72442.33,below,above,above,above,below,6.732,,,10.0,731.5,46.49,84.98,72470.68,70935.26,72504.7,68634.93,72497.99,85.01,305.48,red,44.32,,False,True,80.57,,,21.24,green,9.71,2.62,11.77,0.0,,,,72616.37,72606.37,above,above,above,above,above,6.687,,,10.0,,,,
1042345521,BUY,0.02,2026-08-20T18:18:17,72604.92,2026-08-20T19:24:58,72613.33,66.7,0.17,hour_clean,-6.33,-316.6,2.27,,,,,726.94,80.49,81.98,72446.43,70780.46,72588.95,68480.98,72641.15,81.9,82.59,red,215.7,,True,False,151.68,,,28.03,green,0.0,-22.23,45.57,32.28,,,,72610.81,72600.81,above,above,above,above,below,6.717,,,10.0,732.42,47.41,85.15,72470.64,70935.26,72504.25,68634.93,72497.8,85.15,305.48,red,44.32,,False,True,80.57,,,21.24,green,9.71,2.62,11.77,0.0,,,,72611.71,72601.71,above,above,above,above,above,6.688,,,10.0,,,,
1042380840,BUY,0.02,2026-08-20T20:10:04,72729.76,2026-08-20T20:26:09,72879.76,16.1,3.0,tp,-2.5,-124.8,3.63,,,,,709.67,51.03,85.15,72540.48,71102.13,72677.4,68793.83,72641.26,84.93,284.73,green,114.71,,False,True,86.35,,,56.67,green,0.45,22.1,13.31,0.0,,,,72728.82,72718.82,above,above,above,above,above,6.075,,,10.0,720.36,52.72,88.15,72566.18,71102.13,72723.69,68793.83,72678.87,88.15,284.73,green,114.71,,False,True,86.35,,,31.74,green,20.09,26.73,21.24,0.0,,,,72879.64,72869.64,above,above,above,above,above,5.99,,,10.0,,,,
1042392026,BUY,0.02,2026-08-20T21:26:11,72750.82,2026-08-20T22:23:29,72755.82,57.3,0.1,tp,-5.56,-277.8,1.32,,,,,720.81,49.57,88.15,72627.4,71250.06,72698.74,68945.14,72688.88,88.0,30.94,red,87.18,,True,False,388.77,,,19.91,green,38.15,14.81,-25.8,0.0,,,,72753.44,72743.44,above,above,above,above,above,5.821,,,10.0,595.9,51.71,88.25,72649.66,71390.33,72645.59,69093.1,72661.39,90.68,69.14,green,120.44,,False,True,113.76,,,17.71,green,20.2,33.36,14.7,16.92,,,,72766.28,72756.28,above,above,above,above,above,5.82,,,10.0,,,,
1042395106,BUY,0.02,2026-08-20T22:10:57,72634.87,2026-08-20T22:24:38,72784.87,13.7,3.0,tp,-2.12,-106.0,3.11,5.0,13.1,496462,,594.64,66.34,88.15,72652.61,71390.33,72645.25,69093.1,72680.05,85.39,69.14,green,120.44,,False,True,113.76,41.92,,green,11.77,-16.9,-11.69,0.0,72634.03,72624.03,,below,above,below,above,below,5.831,10.0,598.07,51.73,91.25,72651.26,71390.33,72660.91,69093.1,72667.14,91.25,69.14,green,120.44,False,True,113.76,red,66.79,,green,1.33,49.87,36.58,,0.0,green,24,72797.31,72787.31,above,above,,above,above,above,5.818,83.0,70.5,10.0,,,,,,,,,
1042406581,BUY,0.02,2026-08-20T23:18:50,72951.46,2026-08-20T23:25:06,73101.46,6.3,3.0,tp,-1.66,-83.2,5.1,-0.8,6.2,496463,1,584.75,51.5,91.25,72698.05,71511.71,72832.03,69233.15,72772.77,90.96,61.35,red,190.71,,True,True,138.44,green,,73.48,red,0.0,-18.66,-12.68,0.0,green,,18,72951.46,72941.46,above,above,above,above,above,5.806,70.5,77.1,10.0,602.27,71.4,94.25,72717.58,71511.71,72916.38,69233.15,72825.98,94.25,61.35,red,190.71,,True,True,138.44,green,,4.63,green,8.57,23.04,51.11,19.19,green,,25,73216.45,73206.45,above,above,above,above,above,5.965,70.5,77.5,10.0,,,,
1042418941,BUY,0.02,2026-08-21T00:07:10,73340.82,2026-08-21T00:18:16,73490.82,11.1,3.0,tp,-3.7,-185.2,3.0,1.8,10.8,496464,1,584.71,84.7,94.25,72854.89,71653.84,73111.65,69381.06,73056.42,93.76,340.75,green,30.66,,True,False,401.74,red,,100.66,green,0.0,125.93,83.7,41.15,green,,7,73326.59,73316.59,above,above,above,above,above,6.228,72.0,74.5,10.0,594.84,114.62,97.25,72906.27,71653.84,73286.15,69381.06,73163.29,97.25,340.75,green,30.66,,True,False,401.74,green,,33.18,green,28.59,35.5,27.81,27.99,green,,18,73500.91,73490.91,above,above,above,above,above,6.329,72.0,71.9,10.0,,,,
