ticket,direction,volume,entry_time_utc,entry_price,exit_time_utc,exit_price,duration_min,profit_usd,exit_reason,worst_drawdown_usd,worst_drawdown_pts,best_profit_usd,time_to_worst_min,time_to_best_min,hour_id,positions_open_at_entry,entry_atr14_h1,entry_atr14_m1,entry_balance,entry_ema200_m1,entry_ema20_h1,entry_ema20_m1,entry_ema50_h1,entry_ema50_m1,entry_equity,entry_h1_body_pts,entry_h1_candle,entry_h1_downwick_pts,entry_h1_forming,entry_h1_higher_high,entry_h1_lower_low,entry_h1_upwick_pts,entry_m15_candle,entry_m15_forming,entry_m1_body_pts,entry_m1_candle,entry_m1_downwick_pts,entry_m1_high_minus_prevhigh,entry_m1_low_minus_prevlow,entry_m1_upwick_pts,entry_m5_candle,entry_m5_forming,entry_minute_of_hour,entry_price_ask,entry_price_bid,entry_px_vs_ema200_m1,entry_px_vs_ema20_h1,entry_px_vs_ema20_m1,entry_px_vs_ema50_h1,entry_px_vs_ema50_m1,entry_range24h_pct,entry_rsi14_h1,entry_rsi14_m1,entry_spread_pts,entry_user_sl,entry_user_tp,exit_atr14_h1,exit_atr14_m1,exit_balance,exit_ema200_m1,exit_ema20_h1,exit_ema20_m1,exit_ema50_h1,exit_ema50_m1,exit_equity,exit_h1_body_pts,exit_h1_candle,exit_h1_downwick_pts,exit_h1_forming,exit_h1_higher_high,exit_h1_lower_low,exit_h1_upwick_pts,exit_m15_candle,exit_m15_forming,exit_m1_body_pts,exit_m1_candle,exit_m1_downwick_pts,exit_m1_high_minus_prevhigh,exit_m1_low_minus_prevlow,exit_m1_upwick_pts,exit_m5_candle,exit_m5_forming,exit_minute_of_hour,exit_price_ask,exit_price_bid,exit_px_vs_ema200_m1,exit_px_vs_ema20_h1,exit_px_vs_ema20_m1,exit_px_vs_ema50_h1,exit_px_vs_ema50_m1,exit_range24h_pct,exit_rsi14_h1,exit_rsi14_m1,exit_spread_pts
1050750189,BUY,0.02,2026-09-07T17:20:05,79140.3,2026-09-07T17:24:16,79076.47,4.2,-1.28,sl,-1.28,-63.8,0.11,3.9,-0.1,496889,1,292.15,24.84,43.71,79040.64,79455.47,79078.96,79628.78,79018.04,43.51,187.89,green,42.23,green,False,False,14.09,green,red,4.11,green,11.33,-6.31,-2.26,4.73,red,green,20,79140.3,79130.3,above,below,above,below,above,2.408,30.4,75.0,10.0,0.0,0.0,292.82,26.06,42.43,79043.13,79455.47,79086.53,79628.78,79030.65,42.43,187.89,green,42.23,green,False,False,14.09,green,red,12.46,red,8.61,-3.49,3.87,6.35,red,red,24,79086.47,79076.47,above,below,below,below,above,2.41,30.4,47.9,10.0
1050751200,SELL,0.03,2026-09-07T17:25:30,79082.76,2026-09-07T17:29:09,79150.61,3.6,-2.04,sl,-1.74,-58.1,0.42,3.5,-0.5,496889,1,292.82,27.15,42.43,79043.71,79455.47,79087.81,79628.78,79033.37,42.13,187.89,green,42.23,green,False,False,14.09,green,red,1.6,red,19.08,-17.99,-12.61,1.36,red,red,25,79092.76,79082.76,above,below,below,below,above,2.41,30.4,50.6,10.0,0.0,0.0,292.82,26.96,40.39,79046.23,79455.47,79095.06,79628.78,79044.5,40.39,187.89,green,42.23,green,False,False,14.09,green,green,32.02,green,0.37,35.99,7.66,20.96,red,green,29,79148.06,79138.06,above,below,above,below,above,2.408,30.4,61.1,10.0
1050754123,SELL,0.04,2026-09-07T17:35:19,79061.0,2026-09-07T17:41:19,79149.95,6.0,-3.56,sl,-3.46,-86.6,0.49,5.7,0.7,496889,1,292.82,26.77,40.39,79048.05,79455.47,79086.71,79628.78,79051.45,40.17,187.89,green,42.23,green,False,False,14.09,red,red,2.44,red,16.45,-15.65,-14.68,2.21,red,red,35,79071.0,79061.0,above,below,below,below,above,2.41,30.4,30.4,10.0,0.0,0.0,292.94,28.08,36.83,79052.06,79455.47,79101.45,79628.78,79065.53,36.83,187.89,green,42.23,green,False,False,14.09,red,green,20.75,green,1.36,0.63,10.05,0.82,green,green,41,79157.61,79147.61,above,below,above,below,above,2.408,30.4,69.5,10.0
1050755758,BUY,0.05,2026-09-07T17:42:18,79143.52,2026-09-07T19:30:14,79247.84,107.9,5.21,tp,-3.37,-67.5,5.31,50.7,107.7,496889,1,294.02,26.39,36.83,79052.86,79455.47,79104.38,79628.78,79068.14,36.33,187.89,green,42.23,green,False,False,14.09,red,green,14.24,green,0.32,15.18,21.76,1.79,green,green,42,79143.52,79133.52,above,below,above,below,above,2.408,30.4,56.5,10.0,0.0,0.0,281.84,20.03,42.04,79125.18,79405.48,79198.63,79594.28,79176.28,42.04,15.77,green,95.43,green,True,False,48.45,green,green,20.08,green,6.22,4.41,-0.14,0.0,green,green,30,79259.79,79249.79,above,below,above,below,above,2.405,37.0,75.9,10.0
1050782747,SELL,0.03,2026-09-07T21:52:08,79157.47,2026-09-07T22:02:02,79064.2,9.9,2.79,tp,-1.25,-41.6,3.48,0.9,9.9,496893,1,255.04,25.99,42.04,79194.81,79380.23,79179.91,79569.65,79193.07,41.73,115.93,red,78.15,red,False,True,49.92,red,red,9.8,red,7.99,-9.48,-15.91,0.16,green,red,52,79167.54,79157.54,below,below,below,below,below,2.408,39.8,40.4,10.0,0.0,0.0,253.45,27.68,44.83,79190.89,79357.62,79157.6,79552.96,79179.12,44.83,69.87,red,2.96,red,False,False,37.27,red,red,58.71,red,2.93,-13.58,-55.11,1.26,red,red,2,79088.5,79078.5,below,below,below,below,below,2.41,43.8,24.4,10.0
1050793076,SELL,0.03,2026-09-07T22:37:39,78985.35,2026-09-07T22:40:06,78827.42,2.5,4.74,tp,-1.4,-46.6,6.3,-0.7,2.4,496894,1,260.97,41.48,174.83,79165.84,79357.62,79072.38,79552.96,79113.87,174.55,69.87,red,2.96,red,False,False,37.27,red,red,0.1,red,21.38,-36.65,-19.63,0.04,red,red,37,78994.63,78984.63,below,below,below,below,below,2.413,43.8,28.2,10.0,0.0,0.0,275.58,53.49,179.57,79156.92,79357.62,79017.09,79552.96,79085.47,179.57,69.87,red,2.96,red,False,False,37.27,red,red,100.25,red,29.03,-29.87,-123.87,1.2,red,red,40,78785.49,78775.49,below,below,below,below,below,2.419,43.8,11.6,10.0
1050798568,BUY,0.03,2026-09-07T23:04:05,79005.0,2026-09-07T23:06:49,79021.84,2.7,0.51,tp,-2.35,-78.2,0.68,0.9,1.9,496895,1,264.86,32.69,179.57,79105.3,79316.83,78942.95,79528.44,78984.84,179.27,217.07,red,158.32,green,False,True,57.31,green,green,15.97,green,2.9,28.43,17.05,20.31,green,green,4,79005.0,78995.0,below,below,above,below,above,2.413,38.3,60.7,10.0,0.0,0.0,266.76,39.48,180.08,79102.92,79316.83,78951.19,79528.44,78984.93,180.08,217.07,red,158.32,green,False,True,57.31,green,green,36.82,green,21.74,-9.72,-23.04,0.0,green,green,6,79037.75,79027.75,below,below,above,below,above,2.412,38.3,62.6,10.0
1050834630,BUY,0.06,2026-09-08T00:59:06,79279.77,2026-09-08T01:22:36,79356.99,23.5,4.63,tp,-3.08,-51.4,5.85,7.9,22.9,496896,1,292.78,32.85,180.08,79105.65,79294.91,79229.17,79511.25,79163.27,179.48,169.65,green,15.76,green,False,False,105.42,green,green,22.96,red,1.2,-1.83,4.45,0.0,red,green,59,79279.77,79269.77,above,below,above,below,above,2.231,44.9,66.3,10.0,0.0,0.0,288.1,43.13,184.71,79145.04,79294.69,79294.71,79502.6,79244.73,184.71,208.62,green,141.75,green,True,False,2.8,red,green,18.2,green,9.94,2.9,-3.21,12.93,green,green,22,79383.19,79373.19,above,above,above,below,above,2.228,48.8,55.6,10.0
1050954868,SELL,0.04,2026-09-08T06:31:56,78377.03,2026-09-08T07:51:42,78185.54,79.8,7.66,tp,-7.8,-195.0,8.2,69.1,79.1,496902,1,288.52,60.78,184.71,78726.32,79116.86,78436.73,79386.98,78518.6,184.26,94.54,red,57.9,red,False,True,200.32,red,green,30.57,green,4.79,-2.01,2.46,0.02,red,green,32,78388.19,78378.19,below,below,below,below,below,1.775,44.4,32.4,10.0,0.0,0.0,309.54,50.41,192.37,78538.33,79039.1,78356.51,79344.12,78392.12,192.37,258.73,red,73.9,red,False,True,52.21,red,red,54.86,red,31.15,-14.61,-68.26,1.4,red,red,51,78184.57,78174.57,below,below,below,below,below,1.877,34.9,12.4,10.0
1051018455,SELL,0.02,2026-09-08T08:10:02,78309.47,2026-09-08T09:34:09,78582.01,84.1,-5.45,sl,-5.46,-273.0,0.66,84.0,7.0,496904,1,314.44,52.52,192.37,78505.13,78982.71,78344.56,79309.03,78367.18,192.17,144.8,green,160.2,red,False,True,124.77,green,red,22.98,red,12.16,-53.82,-5.66,0.0,red,red,10,78319.71,78309.71,below,below,below,below,below,1.912,34.3,42.7,10.0,0.0,0.0,322.87,40.1,186.92,78455.66,78926.6,78453.46,79273.04,78426.79,186.92,52.06,red,144.97,green,False,False,114.03,green,green,50.86,green,8.62,30.53,42.46,0.08,green,green,34,78582.49,78572.49,above,below,above,below,above,1.906,33.1,80.2,10.0
