entry_time_utc,kind,dir,entry,sl,tp,risk_usd,exit_time_utc,exit,why,pnl
2026-07-02T00:31:01,flip,SELL,59642.62,59809.64,59509.0,3.34,2026-07-02T01:12:52,59812.25,sl,-3.39
2026-07-02T01:13:01,flip,BUY,59797.06,59624.09,59935.44,3.46,2026-07-02T01:20:07,59935.44,tp,2.77
2026-07-02T01:24:55,touch,BUY,59930.09,59820.27,60017.95,2.2,2026-07-02T01:30:19,60017.95,tp,1.76
2026-07-02T01:39:43,touch,BUY,60151.39,60039.73,60240.72,2.23,2026-07-02T01:40:27,60240.72,tp,1.79
2026-07-02T02:37:54,touch,BUY,60275.1,59945.49,60538.79,6.59,2026-07-02T03:27:52,60538.79,tp,5.27
2026-07-02T03:50:01,flip,BUY,60802.68,60682.11,60899.14,2.41,2026-07-02T03:50:03,60899.14,tp,1.93
2026-07-02T03:52:15,touch,BUY,60991.9,60776.9,61163.9,4.3,2026-07-02T04:23:30,60773.46,sl,-4.37
2026-07-02T04:32:05,flip,SELL,60705.24,60798.3,60630.79,1.86,2026-07-02T04:53:37,60800.12,sl,-1.9
2026-07-02T05:01:00,touch,SELL,60625.35,60818.41,60470.9,3.86,2026-07-02T05:49:14,60470.9,tp,3.09
2026-07-02T06:01:04,touch,SELL,60417.63,60511.59,60342.46,1.88,2026-07-02T06:14:42,60342.46,tp,1.5
2026-07-02T08:16:02,flip,BUY,60290.15,60187.31,60372.42,2.06,2026-07-02T08:34:16,60372.42,tp,1.65
2026-07-02T08:46:58,touch,BUY,60439.88,60350.31,60511.54,1.79,2026-07-02T09:06:08,60348.55,sl,-1.83
2026-07-02T09:23:06,touch,BUY,60505.08,60316.37,60656.05,3.77,2026-07-02T09:31:18,60656.05,tp,3.02
2026-07-02T09:53:09,touch,BUY,61173.18,60774.13,61492.42,7.98,2026-07-02T12:30:35,61492.42,tp,6.38
2026-07-02T14:36:01,flip,SELL,61460.87,61747.99,61231.17,5.74,2026-07-02T15:27:20,61748.51,sl,-5.75
2026-07-02T17:18:31,touch,BUY,61780.89,61124.99,62305.61,13.12,2026-07-03T15:08:41,62305.61,tp,10.49
2026-07-04T06:23:01,flip,SELL,62290.64,62702.79,61960.92,8.24,2026-07-04T13:20:47,62704.35,sl,-8.27
2026-07-04T15:10:01,flip,BUY,62809.62,62489.39,63065.8,6.4,2026-07-04T17:33:07,63065.8,tp,5.12
2026-07-05T00:57:03,flip,SELL,62873.86,63176.8,62631.51,6.06,2026-07-05T02:15:59,62631.51,tp,4.85
2026-07-05T02:43:42,touch,SELL,62622.45,62731.7,62535.05,2.18,2026-07-05T03:14:38,62731.97,sl,-2.19
2026-07-05T04:20:01,flip,BUY,62766.05,62728.06,62796.44,0.76,2026-07-05T04:21:13,62796.44,tp,0.61
2026-07-05T05:41:02,flip,SELL,62668.22,62755.13,62598.69,1.74,2026-07-05T06:33:00,62760.6,sl,-1.85
2026-07-05T07:34:03,flip,BUY,62802.27,62656.61,62918.8,2.91,2026-07-05T07:51:25,62918.8,tp,2.33
2026-07-06T07:02:01,flip,SELL,62849.1,63103.64,62645.47,5.09,2026-07-06T08:01:23,63104.36,sl,-5.11
2026-07-06T08:36:28,touch,SELL,62806.26,63160.53,62522.84,7.09,2026-07-06T11:59:47,62522.84,tp,5.67
2026-07-06T12:43:07,touch,SELL,61860.36,62138.91,61637.52,5.57,2026-07-06T12:46:13,61637.52,tp,4.46
2026-07-06T13:00:17,touch,SELL,61629.18,61840.09,61460.45,4.22,2026-07-06T13:20:55,61460.45,tp,3.37
2026-07-06T13:48:01,flip,BUY,61746.01,61571.25,61885.82,3.5,2026-07-06T13:50:32,61885.82,tp,2.8
2026-07-06T14:23:57,touch,BUY,61997.72,61649.14,62276.58,6.97,2026-07-06T14:25:36,62276.58,tp,5.58
2026-07-06T15:09:04,touch,BUY,62371.77,61844.88,62793.28,10.54,2026-07-06T15:44:02,62793.28,tp,8.43
2026-07-06T17:54:02,flip,SELL,63584.81,63713.9,63481.54,2.58,2026-07-06T18:05:05,63719.02,sl,-2.68
2026-07-06T21:09:01,flip,BUY,63897.71,63542.26,64182.07,7.11,2026-07-06T21:09:06,64182.07,tp,5.69
2026-07-07T02:50:01,flip,SELL,63396.05,63564.37,63261.39,3.37,2026-07-07T02:51:42,63261.39,tp,2.69
2026-07-07T03:42:07,touch,SELL,63198.33,63313.08,63106.53,2.3,2026-07-07T03:55:34,63106.53,tp,1.84
2026-07-07T04:02:30,touch,SELL,63098.01,63173.78,63037.39,1.52,2026-07-07T04:12:18,63174.67,sl,-1.53
2026-07-07T04:47:06,touch,SELL,63090.18,63253.22,62959.75,3.26,2026-07-07T05:12:53,62959.75,tp,2.61
2026-07-07T05:52:03,flip,BUY,63166.22,63105.74,63214.6,1.21,2026-07-07T05:55:34,63214.6,tp,0.97
2026-07-07T06:06:02,flip,SELL,63012.3,63181.63,62876.84,3.39,2026-07-07T06:33:44,63183.96,sl,-3.43
2026-07-07T12:05:01,flip,BUY,63438.98,62979.07,63806.91,9.2,2026-07-07T12:12:17,63806.91,tp,7.36
2026-07-07T12:12:18,touch,BUY,63817.51,63589.3,64000.08,4.56,2026-07-07T12:21:10,63582.41,sl,-4.7
2026-07-07T12:50:01,flip,SELL,63416.01,63565.92,63296.08,3.0,2026-07-07T13:04:29,63296.08,tp,2.4
2026-07-07T13:11:12,touch,SELL,63218.49,63337.12,63123.59,2.37,2026-07-07T13:24:00,63123.59,tp,1.9
2026-07-07T13:35:40,touch,SELL,62983.72,63172.45,62832.74,3.77,2026-07-07T13:45:54,63176.99,sl,-3.87
2026-07-07T14:00:06,touch,SELL,62919.84,63334.62,62588.02,8.3,2026-07-07T14:52:56,63335.83,sl,-8.32
2026-07-07T15:17:01,flip,BUY,63606.43,63362.22,63801.8,4.88,2026-07-07T15:36:03,63801.8,tp,3.91
2026-07-07T15:45:13,touch,BUY,63946.67,63664.34,64172.53,5.65,2026-07-07T16:52:06,64172.53,tp,4.52
2026-07-07T19:11:03,flip,SELL,63519.77,63735.61,63347.1,4.32,2026-07-07T19:18:31,63347.1,tp,3.45
2026-07-07T19:42:01,flip,BUY,63781.66,63698.48,63848.2,1.66,2026-07-07T19:45:50,63848.2,tp,1.33
2026-07-07T20:33:01,flip,SELL,63616.33,63775.72,63488.82,3.19,2026-07-07T21:01:59,63777.09,sl,-3.22
2026-07-07T21:05:01,flip,BUY,63777.94,63692.98,63845.91,1.7,2026-07-07T21:16:21,63691.44,sl,-1.73
2026-07-07T21:38:01,flip,SELL,63370.65,63487.73,63276.99,2.34,2026-07-07T21:38:20,63276.99,tp,1.87
2026-07-07T22:00:30,touch,SELL,63258.22,63485.53,63076.37,4.55,2026-07-07T22:21:37,63490.14,sl,-4.64
2026-07-07T23:07:01,flip,BUY,63621.41,63452.24,63756.75,3.38,2026-07-07T23:43:56,63450.35,sl,-3.42
2026-07-08T00:01:01,flip,SELL,63277.61,63329.57,63236.04,1.04,2026-07-08T00:03:01,63330.93,sl,-1.07
2026-07-08T00:22:03,flip,BUY,63511.38,63364.68,63628.74,2.93,2026-07-08T00:26:42,63628.74,tp,2.35
2026-07-08T00:40:00,touch,BUY,63648.33,63503.92,63763.86,2.89,2026-07-08T01:03:48,63502.88,sl,-2.91
2026-07-08T01:28:34,touch,SELL,63454.91,63610.19,63330.69,3.11,2026-07-08T01:33:36,63330.69,tp,2.48
2026-07-08T02:00:57,touch,SELL,62866.05,63169.65,62623.17,6.07,2026-07-08T02:35:22,62623.17,tp,4.86
2026-07-08T03:03:02,flip,BUY,63056.96,62877.09,63200.86,3.6,2026-07-08T03:34:21,62873.54,sl,-3.67
2026-07-08T04:51:01,flip,SELL,62644.18,62849.54,62479.89,4.11,2026-07-08T06:21:08,62479.89,tp,3.29
2026-07-08T06:30:30,touch,SELL,62482.66,62635.65,62360.27,3.06,2026-07-08T06:50:17,62636.79,sl,-3.08
2026-07-08T07:26:06,flip,BUY,62786.76,62487.42,63026.23,5.99,2026-07-08T08:17:53,62486.73,sl,-6.0
2026-07-08T09:15:02,flip,SELL,61822.15,62286.92,61450.33,9.3,2026-07-08T11:43:45,62288.01,sl,-9.32
2026-07-09T01:10:01,flip,BUY,62558.13,61897.79,63086.4,13.21,2026-07-09T01:50:37,61895.69,sl,-13.25
2026-07-09T02:36:01,flip,SELL,61760.49,62066.19,61515.93,6.11,2026-07-09T04:17:08,62067.51,sl,-6.14
2026-07-09T04:30:46,touch,BUY,62066.42,61971.34,62142.48,1.9,2026-07-09T04:32:43,62142.48,tp,1.52
2026-07-09T04:46:41,touch,BUY,62269.58,62222.19,62307.49,0.95,2026-07-09T04:50:28,62307.49,tp,0.76
2026-07-09T05:04:58,touch,BUY,62402.79,62311.55,62475.78,1.82,2026-07-09T05:11:17,62475.78,tp,1.46
2026-07-09T05:31:04,flip,SELL,62194.22,62290.35,62117.32,1.92,2026-07-09T05:37:08,62291.27,sl,-1.94
2026-07-09T06:28:04,flip,BUY,62766.27,62433.37,63032.59,6.66,2026-07-09T07:02:07,63032.59,tp,5.33
2026-07-09T07:19:52,touch,BUY,63010.83,62791.39,63186.38,4.39,2026-07-09T07:26:56,62790.11,sl,-4.41
2026-07-09T07:46:23,touch,BUY,63053.75,62739.75,63304.95,6.28,2026-07-09T09:43:07,62736.79,sl,-6.34
2026-07-09T11:25:01,flip,SELL,62614.99,62764.62,62495.29,2.99,2026-07-09T11:56:40,62766.62,sl,-3.03
2026-07-09T12:38:01,flip,BUY,62881.21,62585.17,63118.04,5.92,2026-07-09T12:43:48,62584.72,sl,-5.93
2026-07-09T13:45:00,touch,BUY,62925.53,62395.02,63349.94,10.61,2026-07-09T18:07:35,63349.94,tp,8.49
2026-07-09T18:08:01,flip,BUY,63338.54,63037.89,63579.06,6.01,2026-07-09T23:18:24,63036.11,sl,-6.05
2026-07-10T00:34:01,flip,SELL,62919.52,63281.49,62629.94,7.24,2026-07-10T01:20:43,63282.44,sl,-7.26
2026-07-10T01:30:01,flip,BUY,63350.49,63200.8,63470.24,2.99,2026-07-10T01:48:28,63470.24,tp,2.4
2026-07-10T01:48:29,touch,BUY,63647.58,63293.34,63930.97,7.08,2026-07-10T02:49:36,63930.97,tp,5.67
2026-07-10T02:49:38,touch,BUY,63949.83,63645.5,64193.29,6.09,2026-07-10T08:16:40,64193.29,tp,4.87
2026-07-10T09:28:44,touch,BUY,64374.46,64053.47,64631.25,6.42,2026-07-10T13:52:04,64631.25,tp,5.14
2026-07-10T14:15:12,touch,SELL,64136.81,64660.0,63718.26,10.46,2026-07-10T18:54:14,63718.26,tp,8.37
