entry_time_utc,kind,dir,entry,sl,tp,risk_usd,exit_time_utc,exit,why,pnl
2026-09-08T20:11:01,flip,BUY,78566.39,78313.32,78768.85,5.06,2026-09-09T00:50:16,78768.85,tp,4.05
2026-09-09T00:57:26,touch,BUY,78776.2,78709.88,78829.26,1.33,2026-09-09T01:04:23,78706.44,sl,-1.4
2026-09-09T01:05:25,touch,BUY,78795.37,78696.09,78874.79,1.99,2026-09-09T01:16:07,78694.96,sl,-2.01
2026-09-09T01:37:56,touch,BUY,78870.89,78621.82,79070.15,4.98,2026-09-09T03:10:27,78618.32,sl,-5.05
2026-09-09T03:21:26,touch,SELL,78575.07,78621.33,78538.06,0.93,2026-09-09T03:27:00,78538.06,tp,0.74
2026-09-09T04:01:01,flip,BUY,78769.73,78584.8,78917.67,3.7,2026-09-09T04:04:27,78917.67,tp,2.96
2026-09-09T04:28:27,touch,BUY,78937.98,78730.9,79103.64,4.14,2026-09-09T04:43:53,79103.64,tp,3.31
2026-09-09T05:13:33,touch,BUY,79192.95,79037.44,79317.36,3.11,2026-09-09T05:14:49,79317.36,tp,2.49
2026-09-09T11:02:01,flip,SELL,78836.71,79157.76,78579.87,6.42,2026-09-09T11:49:06,79158.96,sl,-6.44
2026-09-09T12:32:01,flip,BUY,79468.55,79285.44,79615.04,3.66,2026-09-09T12:50:01,79615.04,tp,2.93
2026-09-09T13:32:35,touch,BUY,79659.04,79434.15,79838.95,4.5,2026-09-09T13:36:03,79431.61,sl,-4.55
2026-09-09T13:43:01,flip,SELL,79174.42,79447.71,78955.79,5.47,2026-09-09T14:01:25,78955.79,tp,4.37
2026-09-09T14:11:46,touch,SELL,78884.65,79192.16,78638.64,6.15,2026-09-09T14:28:42,79192.71,sl,-6.16
2026-09-09T15:01:33,touch,SELL,78850.55,79372.4,78433.07,10.44,2026-09-09T15:11:13,78433.07,tp,8.35
2026-09-09T15:22:01,touch,SELL,78244.77,78610.72,77952.01,7.32,2026-09-09T15:35:01,78613.42,sl,-7.37
2026-09-09T16:04:01,flip,BUY,78725.05,78530.29,78880.86,3.9,2026-09-09T16:08:56,78529.86,sl,-3.9
2026-09-09T16:23:01,flip,SELL,78468.13,78653.26,78320.03,3.7,2026-09-09T16:30:22,78654.71,sl,-3.73
2026-09-09T21:06:01,flip,BUY,78330.27,78080.22,78530.31,5.0,2026-09-09T21:50:01,78079.15,sl,-5.02
2026-09-09T22:08:01,flip,SELL,77957.37,78179.64,77779.55,4.45,2026-09-09T22:09:05,77779.55,tp,3.56
2026-09-10T01:06:02,flip,BUY,78371.02,78085.26,78599.63,5.72,2026-09-10T01:32:53,78083.22,sl,-5.76
2026-09-10T03:03:06,touch,BUY,78459.26,77935.07,78878.61,10.48,2026-09-10T07:33:38,77932.17,sl,-10.54
2026-09-10T10:34:01,flip,SELL,77813.67,78204.12,77501.31,7.81,2026-09-10T12:30:36,77501.31,tp,6.25
2026-09-10T12:30:37,touch,SELL,77392.36,77804.35,77062.77,8.24,2026-09-10T12:38:45,77062.77,tp,6.59
2026-09-10T14:29:01,flip,BUY,77344.31,76922.34,77681.89,8.44,2026-09-10T16:08:57,76921.78,sl,-8.45
2026-09-10T16:17:10,touch,SELL,76881.37,76972.69,76808.31,1.83,2026-09-10T16:20:47,76974.58,sl,-1.86
2026-09-10T16:34:15,touch,SELL,76845.4,77013.28,76711.1,3.36,2026-09-10T16:40:53,77014.02,sl,-3.37
2026-09-10T16:46:01,flip,BUY,77056.62,76928.18,77159.37,2.57,2026-09-10T16:47:08,77159.37,tp,2.06
2026-09-10T16:58:34,touch,BUY,77163.43,77031.85,77268.69,2.63,2026-09-10T17:25:11,77268.69,tp,2.11
2026-09-10T22:37:01,flip,SELL,76919.0,77321.27,76597.18,8.05,2026-09-10T23:08:54,76597.18,tp,6.44
2026-09-10T23:08:55,touch,SELL,76603.71,76855.89,76401.97,5.04,2026-09-11T00:54:17,76856.18,sl,-5.05
2026-09-11T01:01:01,flip,BUY,76908.0,76845.49,76958.01,1.25,2026-09-11T01:02:18,76958.01,tp,1.0
2026-09-11T01:22:01,flip,SELL,76794.68,76927.09,76688.75,2.65,2026-09-11T01:33:49,76688.75,tp,2.12
2026-09-11T02:05:01,flip,BUY,76967.28,76885.31,77032.86,1.64,2026-09-11T02:07:08,76884.36,sl,-1.66
2026-09-11T02:14:22,touch,BUY,76966.32,76859.18,77052.03,2.14,2026-09-11T02:18:03,76858.88,sl,-2.15
2026-09-11T02:19:01,flip,SELL,76852.71,76955.41,76770.55,2.05,2026-09-11T02:26:43,76770.55,tp,1.64
2026-09-11T03:05:26,touch,SELL,76741.62,76898.72,76615.94,3.14,2026-09-11T04:01:13,76901.56,sl,-3.2
2026-09-11T04:21:01,flip,BUY,77000.92,76864.61,77109.97,2.73,2026-09-11T04:27:02,77109.97,tp,2.18
2026-09-11T05:39:18,touch,BUY,77159.38,77031.19,77261.93,2.56,2026-09-11T06:11:18,77261.93,tp,2.05
2026-09-11T08:09:01,flip,SELL,77119.71,77362.18,76925.73,4.85,2026-09-11T08:24:16,77362.77,sl,-4.86
2026-09-11T09:34:05,touch,SELL,77090.5,77474.31,76783.45,7.68,2026-09-11T11:07:18,76783.45,tp,6.14
2026-09-11T11:58:01,flip,BUY,76979.59,76851.81,77081.81,2.56,2026-09-11T12:02:52,77081.81,tp,2.04
2026-09-11T12:29:33,touch,BUY,77253.97,76862.31,77567.3,7.83,2026-09-11T12:30:01,76860.54,sl,-7.87
