t,time,kind,d,age_min,elig_2h,dist,stop_atr,stop_med60,stop_r15,stop_r30,stop_r60,dist_from_flip,ordinal,pnl,pnl_R,const_risk_pnl,why,spread_frac,cost_frac
1782914340,2026-07-01T13:59:00,flip,1,0.0,1,194.53,1.746,2.27,0.329,0.209,0.194,,1,-3.9016,-1.0028,-4.0113,sl,0.036,0.0617
1782915000,2026-07-01T14:10:00,cont,1,1000000000.0,0,442.93,4.088,4.873,0.912,0.534,0.382,,2,7.0869,0.8,3.2,tp,0.0158,0.0271
1782919320,2026-07-01T15:22:00,cont,1,1000000000.0,0,789.62,9.341,9.275,1.758,1.132,0.998,,3,12.6339,0.8,3.2,tp,0.0089,0.0152
1782952200,2026-07-02T00:30:00,flip,-1,0.0,1,167.02,3.127,3.322,0.656,0.559,0.301,0.0,1,-3.3926,-1.0156,-4.0625,sl,0.0419,0.0718
1782954720,2026-07-02T01:12:00,flip,1,0.0,1,172.97,3.373,4.076,0.979,0.595,0.414,0.0,1,2.7675,0.8,3.2,tp,0.0405,0.0694
1782955500,2026-07-02T01:25:00,cont,1,13.0,1,138.24,2.118,3.086,0.553,0.412,0.314,145.26,3,2.2118,0.8,3.2,tp,0.0506,0.0868
1782956340,2026-07-02T01:39:00,cont,1,27.0,1,116.65,2.085,2.329,0.444,0.266,0.186,353.72,4,1.8664,0.8,3.2,tp,0.06,0.1029
1782959820,2026-07-02T02:37:00,cont,1,85.0,1,352.08,7.081,7.774,1.474,0.908,0.908,504.85,5,5.6333,0.8,3.2,tp,0.0199,0.0341
1782964140,2026-07-02T03:49:00,flip,1,0.0,1,120.57,1.931,2.856,0.427,0.212,0.212,0.0,1,1.9291,0.8,3.2,tp,0.0581,0.0995
1782964320,2026-07-02T03:52:00,cont,1,3.0,1,182.58,2.578,4.241,0.365,0.24,0.23,162.81,2,-3.7204,-1.0188,-4.0754,sl,0.0383,0.0657
1782966660,2026-07-02T04:31:00,flip,-1,0.0,1,93.06,2.191,1.876,0.456,0.344,0.15,0.0,1,-1.8976,-1.0196,-4.0782,sl,0.0752,0.1289
1782968400,2026-07-02T05:00:00,cont,-1,29.0,1,192.44,4.32,4.306,1.003,1.003,0.556,75.49,3,3.079,0.8,3.2,tp,0.0364,0.0624
1782972180,2026-07-02T06:03:00,cont,-1,92.0,1,125.78,3.198,3.098,0.886,0.291,0.287,329.78,6,-2.5544,-1.0154,-4.0617,sl,0.0557,0.0954
1782974820,2026-07-02T06:47:00,cont,-1,136.0,0,255.87,6.109,7.182,0.876,0.876,0.876,403.17,7,4.0939,0.8,3.2,tp,0.0274,0.0469
1782977220,2026-07-02T07:27:00,cont,-1,176.0,0,78.64,2.168,2.174,0.776,0.488,0.16,619.37,10,-1.5822,-1.006,-4.0239,sl,0.089,0.1526
1782980100,2026-07-02T08:15:00,flip,1,0.0,1,102.84,2.211,2.75,0.436,0.374,0.374,0.0,1,1.6454,0.8,3.2,tp,0.0681,0.1167
1782981960,2026-07-02T08:46:00,cont,1,31.0,1,113.21,2.381,3.054,0.723,0.601,0.269,166.02,3,-2.2994,-1.0155,-4.0622,sl,0.0618,0.106
1782984240,2026-07-02T09:24:00,cont,1,69.0,1,195.37,4.509,5.251,0.946,0.87,0.739,228.24,4,3.1259,0.8,3.2,tp,0.0358,0.0614
1782985980,2026-07-02T09:53:00,cont,1,98.0,1,465.5,3.364,8.462,0.754,0.537,0.457,981.98,5,7.448,0.8,3.2,tp,0.015,0.0258
1782997920,2026-07-02T13:12:00,cont,1,297.0,0,142.44,2.622,2.316,0.692,0.389,0.248,1359.91,9,2.279,0.8,3.2,tp,0.0491,0.0842
1782999240,2026-07-02T13:34:00,cont,1,319.0,0,465.97,3.382,7.412,0.936,0.936,0.642,1635.87,10,-9.3934,-1.0079,-4.0318,sl,0.015,0.0258
1783002900,2026-07-02T14:35:00,flip,-1,0.0,1,287.12,2.625,3.052,0.816,0.402,0.402,0.0,1,-5.7528,-1.0018,-4.0072,sl,0.0244,0.0418
1783012740,2026-07-02T17:19:00,cont,1,113.0,1,659.89,14.431,12.828,3.528,2.819,0.953,70.84,2,10.5582,0.8,3.2,tp,0.0106,0.0182
1783109160,2026-07-03T20:06:00,cont,1,1720.0,0,681.94,15.701,24.088,2.15,2.15,1.907,704.14,8,10.911,0.8,3.2,tp,0.0103,0.0176
1783187280,2026-07-04T17:48:00,cont,1,159.0,0,514.05,10.274,16.772,2.605,1.317,1.062,406.85,2,-10.3528,-1.007,-4.0279,sl,0.0136,0.0233
1783217520,2026-07-05T02:12:00,cont,-1,76.0,1,159.95,5.213,5.113,0.91,0.91,0.618,172.44,4,2.5592,0.8,3.2,tp,0.0438,0.075
1783225140,2026-07-05T04:19:00,flip,1,0.0,1,37.99,1.534,1.498,0.346,0.327,0.225,0.0,1,0.6078,0.8,3.2,tp,0.1843,0.3159
1783230000,2026-07-05T05:40:00,flip,-1,0.0,1,86.91,3.213,3.782,0.774,0.774,0.344,0.0,1,-1.8476,-1.0629,-4.2518,sl,0.0805,0.1381
1783236780,2026-07-05T07:33:00,flip,1,0.0,1,145.66,4.88,7.854,0.952,0.952,0.952,0.0,1,2.3306,0.8,3.2,tp,0.0481,0.0824
1783288500,2026-07-05T21:55:00,cont,1,862.0,0,710.65,13.42,21.185,2.328,1.927,1.12,287.05,2,11.3704,0.8,3.2,tp,0.0099,0.0169
1783321260,2026-07-06T07:01:00,flip,-1,0.0,1,254.54,10.117,10.291,1.65,1.357,1.015,0.0,1,-5.1052,-1.0028,-4.0113,sl,0.0275,0.0471
1783326960,2026-07-06T08:36:00,cont,-1,95.0,1,375.04,11.709,12.675,1.437,0.973,0.905,61.82,2,6.0006,0.8,3.2,tp,0.0187,0.032
1783341780,2026-07-06T12:43:00,cont,-1,94.0,1,397.18,6.39,5.962,0.977,0.977,0.327,974.98,3,6.3549,0.8,3.2,tp,0.0176,0.0302
