entry_time_utc,kind,dir,entry,sl,tp,stop_dist,age_min,exit_time_utc,exit,why,pnl_002,R,month
2025-01-01T05:00:01,flip,SELL,93425.97,93974.17,92987.41,548.2,0.0,2025-01-01T09:24:13,92987.41,tp,8.7712,0.8,2025-01
2025-01-01T10:20:01,flip,BUY,93408.22,93234.55,93547.16,173.67,0.0,2025-01-01T10:35:30,93232.89,sl,-3.5066,-1.0096,2025-01
2025-01-01T11:03:01,flip,SELL,93111.64,93295.74,92964.36,184.1,0.0,2025-01-01T11:18:05,93298.26,sl,-3.7324,-1.0137,2025-01
2025-01-01T11:30:01,flip,BUY,93401.06,93241.29,93528.88,159.77,0.0,2025-01-01T11:45:41,93528.88,tp,2.5563,0.8,2025-01
2025-01-01T12:23:01,cont,BUY,93644.34,93261.35,93950.73,382.99,53.0,2025-01-01T14:00:30,93950.73,tp,6.1278,0.8,2025-01
2025-01-01T23:23:01,flip,SELL,94526.08,94822.41,94289.02,296.33,0.0,2025-01-02T00:18:05,94289.02,tp,4.7413,0.8,2025-01
2025-01-02T00:47:01,flip,BUY,95180.63,94569.09,95669.86,611.54,0.0,2025-01-02T04:41:03,95669.86,tp,9.7846,0.8,2025-01
2025-01-02T15:42:01,flip,SELL,96206.59,96698.59,95812.99,492.0,0.0,2025-01-02T16:15:49,96704.52,sl,-9.9586,-1.0121,2025-01
2025-01-02T16:35:01,flip,BUY,97472.95,97203.94,97688.16,269.01,0.0,2025-01-02T16:54:16,97193.91,sl,-5.5808,-1.0373,2025-01
2025-01-02T17:30:01,flip,SELL,96998.25,97522.34,96578.98,524.09,0.0,2025-01-02T17:36:08,96578.98,tp,8.3854,0.8,2025-01
2025-01-02T20:21:01,flip,BUY,97701.73,97080.45,98198.75,621.28,0.0,2025-01-02T21:08:36,97080.23,sl,-12.43,-1.0004,2025-01
2025-01-02T21:32:01,flip,SELL,96958.2,97087.06,96855.11,128.86,0.0,2025-01-02T21:36:07,97087.92,sl,-2.5944,-1.0067,2025-01
2025-01-02T22:06:01,cont,SELL,96946.92,97172.67,96766.32,225.75,34.0,2025-01-02T22:20:06,96766.32,tp,3.612,0.8,2025-01
2025-01-03T11:23:01,flip,BUY,96628.44,96338.93,96860.05,289.51,0.0,2025-01-03T14:19:20,96860.05,tp,4.6322,0.8,2025-01
2025-01-03T20:02:01,flip,SELL,98434.14,98566.72,98328.08,132.58,0.0,2025-01-03T20:11:51,98328.08,tp,2.1213,0.8,2025-01
2025-01-03T20:12:01,cont,SELL,98249.87,98450.45,98089.41,200.58,10.0,2025-01-03T20:14:29,98455.89,sl,-4.1204,-1.0271,2025-01
2025-01-03T21:02:01,cont,SELL,98233.82,98697.27,97863.06,463.45,60.0,2025-01-04T00:38:40,97863.06,tp,7.4152,0.8,2025-01
2025-01-04T02:38:01,flip,BUY,98078.4,97778.0,98318.72,300.4,0.0,2025-01-04T09:15:25,97777.14,sl,-6.0252,-1.0029,2025-01
2025-01-04T09:48:01,cont,SELL,97592.85,97886.33,97358.07,293.48,39.0,2025-01-04T11:52:31,97891.28,sl,-5.9686,-1.0169,2025-01
2025-01-04T13:54:01,flip,BUY,98019.52,97695.88,98278.43,323.64,0.0,2025-01-04T15:28:03,97691.04,sl,-6.5696,-1.015,2025-01
2025-01-04T21:31:01,flip,SELL,98432.2,98614.43,98286.42,182.23,0.0,2025-01-04T22:23:20,98286.42,tp,2.9157,0.8,2025-01
2025-01-04T23:08:01,cont,SELL,98210.9,98469.56,98003.97,258.66,97.0,2025-01-05T04:28:36,98470.81,sl,-5.1982,-1.0048,2025-01
2025-01-05T08:50:01,flip,SELL,97774.21,97904.29,97670.15,130.08,0.0,2025-01-05T09:13:37,97909.36,sl,-2.703,-1.039,2025-01
2025-01-05T09:51:01,cont,SELL,97742.89,97895.04,97621.17,152.15,61.0,2025-01-05T09:58:50,97621.17,tp,2.4344,0.8,2025-01
2025-01-05T16:08:01,flip,BUY,98264.78,97968.9,98501.48,295.88,0.0,2025-01-05T16:32:31,97968.66,sl,-5.9224,-1.0008,2025-01
2025-01-05T17:17:01,flip,SELL,97923.73,98116.72,97769.34,192.99,0.0,2025-01-05T17:46:54,97769.34,tp,3.0878,0.8,2025-01
2025-01-05T18:04:01,cont,SELL,97635.41,97762.64,97533.63,127.23,47.0,2025-01-05T18:09:09,97770.55,sl,-2.7028,-1.0622,2025-01
2025-01-05T18:56:01,flip,BUY,97935.16,97828.72,98020.31,106.44,0.0,2025-01-05T19:11:00,98020.31,tp,1.703,0.8,2025-01
2025-01-05T20:11:01,cont,BUY,98145.28,97961.32,98292.45,183.96,75.0,2025-01-05T20:17:56,98292.45,tp,2.9434,0.8,2025-01
2025-01-05T23:58:02,flip,SELL,98302.81,98489.46,98153.49,186.65,0.0,2025-01-06T00:00:11,98490.49,sl,-3.7536,-1.0055,2025-01
2025-01-06T00:26:01,flip,BUY,98713.41,98302.64,99042.03,410.77,0.0,2025-01-06T00:37:45,98302.23,sl,-8.2236,-1.001,2025-01
2025-01-06T01:09:01,flip,SELL,98148.31,98342.92,97992.62,194.61,0.0,2025-01-06T01:19:39,97992.62,tp,3.1138,0.8,2025-01
2025-01-06T02:02:01,flip,BUY,98913.34,98650.24,99123.82,263.1,0.0,2025-01-06T02:05:54,99123.82,tp,4.2096,0.8,2025-01
2025-01-06T06:08:01,flip,SELL,99545.43,99706.14,99416.86,160.71,0.0,2025-01-06T06:16:28,99416.86,tp,2.5714,0.8,2025-01
2025-01-06T07:05:02,cont,SELL,99297.52,99773.75,98916.54,476.23,57.0,2025-01-06T10:04:24,98916.54,tp,7.6197,0.8,2025-01
2025-01-06T11:23:01,flip,BUY,99076.45,98914.13,99206.31,162.32,0.0,2025-01-06T11:26:42,99206.31,tp,2.5971,0.8,2025-01
2025-01-06T11:37:01,cont,BUY,99369.47,99208.98,99497.86,160.49,14.0,2025-01-06T11:39:05,99199.53,sl,-3.3988,-1.0589,2025-01
2025-01-06T12:07:01,cont,BUY,99405.25,99149.96,99609.48,255.29,44.0,2025-01-06T12:24:22,99609.48,tp,4.0846,0.8,2025-01
2025-01-06T12:25:01,cont,BUY,99663.99,99372.34,99897.31,291.65,62.0,2025-01-06T12:49:20,99353.91,sl,-6.2016,-1.0632,2025-01
2025-01-06T13:02:01,flip,SELL,99127.94,99187.84,99080.02,59.9,0.0,2025-01-06T13:02:08,99188.24,sl,-1.206,-1.0067,2025-01
2025-01-06T13:14:01,cont,SELL,98987.53,99157.29,98851.72,169.76,12.0,2025-01-06T13:21:11,99157.45,sl,-3.3984,-1.0009,2025-01
2025-01-06T13:52:01,flip,BUY,99383.72,99101.4,99609.58,282.32,0.0,2025-01-06T14:15:40,99096.78,sl,-5.7388,-1.0164,2025-01
2025-01-06T14:46:01,cont,BUY,99778.6,98713.79,100630.45,1064.81,54.0,2025-01-06T14:49:40,100630.45,tp,17.037,0.8,2025-01
2025-01-06T15:14:01,cont,BUY,101261.49,100585.62,101802.19,675.87,82.0,2025-01-06T15:30:25,101802.19,tp,10.8139,0.8,2025-01
2025-01-06T15:45:01,cont,BUY,102009.53,101675.35,102276.87,334.18,113.0,2025-01-06T15:52:53,102276.87,tp,5.3469,0.8,2025-01
2025-01-06T17:32:01,flip,SELL,101770.19,102311.38,101337.24,541.19,0.0,2025-01-06T17:42:12,101337.24,tp,8.659,0.8,2025-01
2025-01-06T18:23:01,flip,BUY,102019.67,101862.27,102145.59,157.4,0.0,2025-01-06T18:32:12,101860.3,sl,-3.1874,-1.0125,2025-01
2025-01-06T20:13:02,cont,BUY,102159.42,101677.35,102545.08,482.07,110.0,2025-01-06T21:56:51,101676.72,sl,-9.654,-1.0013,2025-01
2025-01-07T10:12:01,flip,SELL,101460.92,102038.15,100999.14,577.23,0.0,2025-01-07T11:37:58,100999.14,tp,9.2357,0.8,2025-01
2025-01-07T19:03:01,flip,BUY,96948.1,96631.42,97201.44,316.68,0.0,2025-01-07T19:31:06,96629.13,sl,-6.3794,-1.0072,2025-01
2025-01-07T19:38:01,flip,SELL,96529.88,96797.59,96315.71,267.71,0.0,2025-01-07T19:40:52,96315.71,tp,4.2834,0.8,2025-01
2025-01-07T20:01:01,cont,SELL,96319.73,96794.4,95939.99,474.67,23.0,2025-01-07T21:06:45,96798.32,sl,-9.5718,-1.0083,2025-01
2025-01-07T21:07:01,flip,BUY,96783.75,96382.46,97104.78,401.29,0.0,2025-01-07T21:42:13,96381.26,sl,-8.0498,-1.003,2025-01
2025-01-07T22:39:01,cont,BUY,97102.16,96352.35,97702.01,749.81,92.0,2025-01-08T03:43:37,96349.52,sl,-15.0528,-1.0038,2025-01
2025-01-08T04:12:01,flip,BUY,96631.19,96393.82,96821.09,237.37,0.0,2025-01-08T04:15:43,96381.5,sl,-4.9938,-1.0519,2025-01
2025-01-08T04:26:01,flip,SELL,96238.64,96371.96,96131.98,133.32,0.0,2025-01-08T04:28:52,96376.54,sl,-2.758,-1.0344,2025-01
2025-01-08T04:48:01,cont,SELL,96108.73,96524.1,95776.43,415.37,22.0,2025-01-08T05:19:36,96524.35,sl,-8.3124,-1.0006,2025-01
2025-01-08T08:37:01,flip,BUY,96034.99,95708.61,96296.09,326.38,0.0,2025-01-08T09:37:31,95708.12,sl,-6.5374,-1.0015,2025-01
