entry_time_utc,kind,dir,entry,sl,tp,stop_dist,age_min,exit_time_utc,exit,why,pnl_002,R,month
2023-01-01T03:01:01,flip,SELL,16527.66,16540.81,16517.14,13.15,0.0,2023-01-01T03:18:27,16517.14,tp,0.2104,0.8,2023-01
2023-01-01T06:10:01,flip,BUY,16539.69,16518.05,16557.0,21.64,0.0,2023-01-01T07:05:33,16516.78,sl,-0.4582,-1.0587,2023-01
2023-01-01T07:06:01,cont,SELL,16517.42,16534.25,16503.96,16.83,12.0,2023-01-01T07:08:34,16535.55,sl,-0.3626,-1.0772,2023-01
2023-01-01T11:58:01,flip,BUY,16553.94,16527.76,16574.88,26.18,0.0,2023-01-01T13:37:10,16526.85,sl,-0.5418,-1.0348,2023-01
2023-01-01T14:15:01,flip,BUY,16553.84,16534.79,16569.08,19.05,0.0,2023-01-01T14:45:04,16534.77,sl,-0.3814,-1.001,2023-01
2023-01-01T16:02:01,flip,BUY,16561.96,16530.67,16586.99,31.29,0.0,2023-01-01T18:09:06,16586.99,tp,0.5006,0.8,2023-01
2023-01-02T01:07:01,flip,SELL,16548.02,16574.73,16526.65,26.71,0.0,2023-01-02T01:07:03,16575.76,sl,-0.5548,-1.0386,2023-01
2023-01-02T03:11:01,flip,BUY,16594.1,16572.43,16611.44,21.67,0.0,2023-01-02T03:25:00,16571.71,sl,-0.4478,-1.0332,2023-01
2023-01-02T03:36:01,cont,BUY,16601.96,16567.56,16629.48,34.4,25.0,2023-01-02T03:53:32,16629.48,tp,0.5504,0.8,2023-01
2023-01-03T15:19:01,flip,SELL,16633.84,16773.61,16522.02,139.77,0.0,2023-01-04T03:06:56,16774.25,sl,-2.8082,-1.0046,2023-01
2023-01-04T03:07:01,cont,BUY,16777.94,16715.32,16828.04,62.62,95.0,2023-01-04T03:14:25,16828.04,tp,1.0019,0.8,2023-01
2023-01-04T14:31:01,flip,SELL,16788.0,16806.83,16772.94,18.83,0.0,2023-01-04T14:31:14,16806.93,sl,-0.3786,-1.0053,2023-01
2023-01-04T15:12:01,cont,SELL,16764.21,16838.81,16704.53,74.6,41.0,2023-01-04T15:46:49,16839.02,sl,-1.4962,-1.0028,2023-01
2023-01-04T17:31:01,flip,BUY,16876.81,16835.06,16910.21,41.75,0.0,2023-01-04T17:33:08,16910.21,tp,0.668,0.8,2023-01
2023-01-04T18:35:01,cont,BUY,16940.96,16864.87,17001.83,76.09,64.0,2023-01-04T19:10:25,16862.37,sl,-1.5718,-1.0329,2023-01
2023-01-04T19:24:01,flip,SELL,16852.35,16893.38,16819.53,41.03,0.0,2023-01-04T19:29:01,16819.53,tp,0.6565,0.8,2023-01
2023-01-04T20:47:01,cont,SELL,16775.87,16839.63,16724.86,63.76,83.0,2023-01-04T22:38:35,16840.31,sl,-1.2888,-1.0107,2023-01
2023-01-04T22:39:01,cont,BUY,16838.14,16801.32,16867.6,36.82,42.0,2023-01-05T01:09:34,16799.42,sl,-0.7744,-1.0516,2023-01
2023-01-05T07:19:01,flip,SELL,16797.87,16842.23,16762.38,44.36,0.0,2023-01-05T14:00:09,16762.38,tp,0.7098,0.8,2023-01
2023-01-05T14:47:02,flip,SELL,16760.9,16805.61,16725.13,44.71,0.0,2023-01-05T14:57:07,16807.88,sl,-0.9396,-1.0508,2023-01
2023-01-05T15:44:01,flip,BUY,16864.93,16824.46,16897.31,40.47,0.0,2023-01-05T16:01:27,16824.2,sl,-0.8146,-1.0064,2023-01
2023-01-05T16:36:01,flip,SELL,16815.09,16831.41,16802.03,16.32,0.0,2023-01-05T16:36:26,16831.57,sl,-0.3296,-1.0098,2023-01
2023-01-05T17:39:01,cont,SELL,16806.63,16833.02,16785.52,26.39,63.0,2023-01-05T18:20:42,16834.23,sl,-0.552,-1.0459,2023-01
2023-01-05T18:35:01,flip,BUY,16843.84,16817.3,16865.07,26.54,0.0,2023-01-05T18:46:54,16817.02,sl,-0.5364,-1.0106,2023-01
2023-01-05T19:20:01,cont,BUY,16846.08,16816.3,16869.9,29.78,45.0,2023-01-05T19:31:43,16815.51,sl,-0.6114,-1.0265,2023-01
2023-01-05T19:49:01,cont,BUY,16848.97,16811.38,16879.04,37.59,74.0,2023-01-05T23:25:19,16809.09,sl,-0.7976,-1.0609,2023-01
2023-01-06T02:04:01,flip,SELL,16800.76,16855.49,16756.98,54.73,0.0,2023-01-06T09:21:55,16756.98,tp,0.8757,0.8,2023-01
2023-01-06T10:34:01,flip,BUY,16797.28,16768.11,16820.62,29.17,0.0,2023-01-06T10:53:00,16767.94,sl,-0.5868,-1.0058,2023-01
2023-01-06T13:03:01,flip,SELL,16698.05,16726.64,16675.18,28.59,0.0,2023-01-06T13:16:03,16728.0,sl,-0.599,-1.0476,2023-01
2023-01-06T13:30:01,cont,SELL,16660.95,16731.2,16604.75,70.25,27.0,2023-01-06T13:30:24,16731.33,sl,-1.4076,-1.0019,2023-01
2023-01-06T15:41:01,flip,BUY,16820.12,16709.97,16908.24,110.15,0.0,2023-01-06T19:39:50,16908.24,tp,1.7624,0.8,2023-01
2023-01-09T03:33:01,flip,BUY,17201.25,17169.17,17226.91,32.08,0.0,2023-01-09T04:28:26,17226.91,tp,0.5133,0.8,2023-01
2023-01-09T04:29:01,cont,BUY,17234.59,17193.01,17267.85,41.58,56.0,2023-01-09T06:13:56,17192.6,sl,-0.8398,-1.0099,2023-01
2023-01-09T06:14:01,flip,SELL,17187.36,17215.13,17165.14,27.77,0.0,2023-01-09T06:24:51,17215.24,sl,-0.5576,-1.004,2023-01
2023-01-09T06:46:01,cont,SELL,17191.16,17211.46,17174.92,20.3,32.0,2023-01-09T07:26:25,17212.17,sl,-0.4202,-1.035,2023-01
2023-01-09T08:43:01,flip,BUY,17217.96,17183.86,17245.24,34.1,0.0,2023-01-09T08:59:58,17183.54,sl,-0.6884,-1.0094,2023-01
2023-01-09T09:31:01,cont,BUY,17244.55,17183.54,17293.36,61.01,48.0,2023-01-09T15:06:56,17293.36,tp,0.9762,0.8,2023-01
2023-01-09T15:07:01,cont,BUY,17295.93,17184.57,17385.02,111.36,113.0,2023-01-09T18:17:05,17385.02,tp,1.7818,0.8,2023-01
2023-01-09T18:53:01,flip,SELL,17324.14,17350.62,17302.96,26.48,0.0,2023-01-09T18:55:55,17351.18,sl,-0.5408,-1.0211,2023-01
2023-01-09T19:06:01,cont,SELL,17302.98,17344.58,17269.7,41.6,13.0,2023-01-09T19:16:39,17345.63,sl,-0.853,-1.0252,2023-01
2023-01-09T19:59:02,cont,SELL,17296.17,17339.35,17261.63,43.18,66.0,2023-01-09T20:08:38,17261.63,tp,0.6909,0.8,2023-01
