tb,time,src,era,kind,d,pnl,R,tpf,spread_med24,spread_over_range24,spread_over_atr,tp_over_spread,stop_over_spread,atr_over_price,rng60,rng360,rng1440,absret60,absret360,absret1440,sd60,sd360,sd1440,er60,er360,er1440,signac360,flips_per_day,bos_per_day,cont_per_flip,med_flip_gap_min,trend_age_min,flip_share20,own20_tpf,own50_tpf,own20_R,own50_R,own20_flip_R,own20_cont_R,mkt20_fwd5,mkt20_fwd15,mkt20_fwd30,mkt20_ge05
1767284280,2026-01-01T16:18:00,V2,DISC,flip,-1,-1.2506,-1.0434,0,12.6,0.68815,0.4579,3.80476,4.75635,3.13425,25.72,18.7,18.31,110.33669,513.93982,1430.98045,2.44058,1.9637,1.64766,0.13158,0.0227,0.02228,0.00279,1,5,1.5,,0.0,,,,,,,,,,,
1767285060,2026-01-01T16:31:00,V2,DISC,flip,1,0.811,0.8,1,12.6,0.68852,0.58488,3.21825,4.02302,2.45216,24.355,19.025,18.3,119.15322,523.95363,1452.40376,2.54921,1.98856,1.65939,0.0195,0.03203,0.02645,-0.0195,2,7,1.33333,,0.0,,,,,,,,,,,
1767288600,2026-01-01T17:30:00,V2,DISC,cont,1,-5.955,-1.0082,0,12.6,0.69003,0.19688,18.75159,23.43968,7.24251,18.025,19.955,18.26,117.05319,566.70279,1556.63808,3.96284,2.50447,1.85351,0.53165,0.10871,0.06167,-0.00836,2,10,2.33333,,59.0,,,,,,,,,,,
1767294780,2026-01-01T19:13:00,V2,DISC,flip,-1,-2.6384,-1.0084,0,12.6,0.66055,0.53963,8.30635,10.38254,2.65433,24.115,23.1,19.075,104.55291,644.2875,1784.44652,2.4184,2.79629,2.01368,0.14907,0.01956,0.02879,-0.03621,3,11,1.75,87.5,0.0,,,,,,,,-0.22672,-0.20313,0.90831,0.2
1767304800,2026-01-01T22:00:00,V2,DISC,flip,1,3.0589,0.8,1,12.6,0.65083,0.60648,12.1381,15.17302,2.35266,21.34,23.235,19.36,87.5693,647.19864,2041.18237,1.82854,2.7481,2.13378,0.2044,0.07025,0.04395,-0.11978,4,12,1.4,162.0,0.0,,,,,,,,-0.24031,-0.25056,0.65546,0.18182
1767307920,2026-01-01T22:52:00,V2,DISC,cont,1,3.5659,0.8,1,12.6,0.6422,0.33828,14.15079,17.6881,4.20742,27.675,24.345,19.62,120.2274,685.94254,2147.04875,2.63761,2.8604,2.19923,0.23205,0.11204,0.05326,-0.06964,4,13,1.6,162.0,52.0,,,,,,,,-0.20239,-0.18944,0.66536,0.25
1767310980,2026-01-01T23:43:00,V2,DISC,cont,1,-2.2192,-1.0117,0,12.6,0.62733,0.34794,6.96349,8.70476,4.08061,40.72,26.275,20.085,163.54262,701.34333,2290.32122,3.63313,2.66731,2.31697,0.19226,0.082,0.06046,-0.07521,4,17,2.4,162.0,103.0,,,,,,,,-0.32918,-0.25826,0.67384,0.35714
1767317700,2026-01-02T01:35:00,V2,DISC,flip,-1,-6.376,-1.0041,0,12.6,0.59183,0.30029,20.15873,25.19841,4.74268,39.035,29.76,21.29,163.54676,800.90947,2446.47954,3.38782,2.98652,2.44366,0.16806,0.05983,0.0333,0.02507,5,18,2.0,164.5,0.0,0.66667,,,,,,,-0.30892,-0.12825,0.49031,0.35294
1767325200,2026-01-02T03:40:00,V2,DISC,cont,1,-4.7106,-1.0023,0,12.6,0.56757,0.29573,14.91984,18.65,4.79312,39.045,35.145,22.2,185.0381,949.30366,2557.25495,4.11531,3.51154,2.59342,0.32213,0.07606,0.04812,0.06407,6,22,2.14286,162.0,33.0,0.625,,,,,,,-0.26246,-0.10889,0.36067,0.3
1767329820,2026-01-02T04:57:00,V2,DISC,flip,-1,-2.9302,-1.0114,0,12.6,0.55263,0.34867,9.19762,11.49683,4.08001,39.19,39.52,22.8,172.86525,1054.99637,2665.06306,3.60656,3.80955,2.70031,0.20066,0.00208,0.04771,-0.00836,6,22,2.14286,162.0,110.0,0.625,,,,,,,-0.25805,-0.11232,0.32146,0.3
