episode_end_utc,entry_utc,n_buckets,total_btc,long_btc,short_btc,q95,dir(-1=forced selling),atr14,cont1,cont5,cont15,cont30,cont60,rev1,rev5,rev15,rev30,rev60,mfe60,mae60,fp1atr,oi_chg_pct,taker_imb
2026-08-07T08:45:00,2026-08-07T08:45:00,1,13.63,0.0,13.63,9.276,1,38.28,-48.01,-37.4,-38.62,88.96,278.19,24.01,13.4,14.62,-112.96,-302.19,349.97,54.13,adverse,0.164,-0.286
2026-08-07T11:25:00,2026-08-07T11:25:00,1,14.453,0.0,14.453,10.049,1,42.95,-29.03,-78.71,-80.37,-143.39,-52.63,5.03,54.71,56.37,119.39,28.63,140.89,157.56,adverse,,
2026-08-07T12:55:00,2026-08-07T12:55:00,1,13.148,0.0,13.148,10.052,1,45.91,-18.93,-61.35,-105.55,-174.57,-223.63,-5.07,37.35,81.55,150.57,199.63,52.02,245.66,favourable,0.12,0.016
2026-08-07T14:05:00,2026-08-07T14:05:00,1,13.329,13.309,0.02,10.052,-1,81.94,4.72,21.61,-150.63,-345.41,-36.22,-28.72,-45.61,126.63,321.41,12.22,76.24,421.7,adverse,0.014,0.181
2026-08-10T00:45:00,2026-08-10T00:45:00,1,10.075,10.075,0.0,7.443,-1,46.33,-19.14,-99.45,-134.07,-165.19,-128.49,-4.86,75.45,110.07,141.19,104.49,10.82,224.29,adverse,-0.158,0.352
2026-08-10T01:55:00,2026-08-10T01:55:00,1,16.503,0.0,16.503,7.729,1,57.52,-39.35,-25.56,-114.19,-286.35,-128.59,15.35,1.56,90.19,262.35,104.59,18.71,311.38,adverse,0.158,-0.157
2026-08-10T13:50:00,2026-08-10T13:50:00,3,40.594,40.594,0.0,7.637,-1,58.31,-39.23,-3.35,-153.47,-232.41,-244.63,15.23,-20.65,129.47,208.41,220.63,48.19,338.1,adverse,-0.149,0.45
2026-08-10T15:30:00,2026-08-10T15:30:00,1,22.844,22.844,0.0,9.176,-1,52.35,0.42,51.27,48.36,98.48,272.51,-24.42,-75.27,-72.36,-122.48,-296.51,427.86,15.93,favourable,-0.365,0.298
2026-08-10T16:25:00,2026-08-10T16:25:00,2,34.582,34.582,0.0,9.51,-1,53.68,-17.01,-22.52,-50.17,257.07,173.87,-6.99,-1.48,26.17,-281.07,-197.87,294.89,70.87,favourable,-0.027,0.025
2026-08-10T16:55:00,2026-08-10T16:55:00,1,27.267,27.267,0.0,9.945,-1,49.85,4.34,-69.91,-109.74,-95.2,-73.08,-28.34,45.91,85.74,71.2,49.08,25.82,178.46,adverse,-0.018,0.023
2026-08-10T18:40:00,2026-08-10T18:40:00,1,16.888,16.888,0.0,10.056,-1,38.09,-30.17,-69.11,-80.07,-101.49,-143.22,6.17,45.11,56.07,77.49,119.22,12.04,274.84,adverse,0.088,-0.059
2026-08-11T14:55:00,2026-08-11T14:55:00,1,14.459,14.459,0.0,10.054,-1,46.99,-0.89,-39.83,-83.19,-72.81,253.83,-23.11,15.83,59.19,48.81,-277.83,297.44,127.06,adverse,-0.075,0.375
2026-08-11T15:45:00,2026-08-11T15:45:00,2,51.701,51.701,0.0,10.075,-1,57.24,-17.78,-0.8,-61.36,-54.25,55.79,-6.22,-23.2,37.36,30.25,-79.79,91.59,100.2,adverse,-0.009,0.304
2026-08-12T14:05:00,2026-08-12T14:05:00,1,14.077,14.077,0.0,10.098,-1,64.3,11.43,-92.12,-133.41,80.49,203.16,-35.43,68.12,109.41,-104.49,-227.16,362.65,260.62,favourable,,
2026-08-13T05:20:00,2026-08-13T05:20:00,1,12.076,0.0,12.076,10.116,1,48.83,-18.46,9.24,-11.68,-56.91,-96.16,-5.54,-33.24,-12.32,32.91,72.16,48.47,118.33,adverse,-0.003,-0.324
2026-08-13T07:55:00,2026-08-13T07:55:00,1,14.638,14.638,0.0,10.959,-1,11.24,-11.04,-18.46,-30.57,49.19,110.98,-12.96,-5.54,6.57,-73.19,-134.98,122.98,54.98,favourable,-0.04,0.364
2026-08-13T16:45:00,2026-08-13T16:45:00,2,59.855,59.805,0.05,11.547,-1,83.48,17.65,-214.18,-187.32,-150.01,-262.72,-41.65,190.18,163.32,126.01,238.72,59.84,280.63,adverse,0.103,-0.257
2026-08-14T08:25:00,2026-08-14T08:25:00,1,24.559,24.559,0.0,13.229,-1,47.67,-12.99,-17.0,-88.03,-143.17,-147.82,-11.01,-7.0,64.03,119.17,123.82,89.38,163.81,favourable,0.01,-0.132
2026-08-14T13:15:00,2026-08-14T13:15:00,1,12.117,12.117,0.0,11.782,-1,47.94,-18.06,15.04,-104.62,-39.72,54.09,-5.94,-39.04,80.62,15.72,-78.09,106.48,142.92,favourable,-0.163,0.256
2026-08-16T21:45:00,2026-08-16T21:45:00,1,16.219,16.219,0.0,11.665,-1,41.56,26.87,-47.01,0.21,-3.54,133.49,-50.87,23.01,-24.21,-20.46,-157.49,229.96,51.14,favourable,-0.921,0.743
2026-08-17T02:55:00,2026-08-17T02:55:00,1,15.66,0.001,15.659,12.018,1,39.16,-29.87,-33.13,-57.17,-78.13,41.78,5.87,9.13,33.17,54.13,-65.78,73.1,86.9,adverse,-0.75,0.223
2026-08-17T15:10:00,2026-08-17T15:10:00,1,12.981,0.0,12.981,10.637,1,45.49,1.5,-51.6,-61.27,132.09,186.51,-25.5,27.6,37.27,-156.09,-210.51,324.13,105.59,favourable,0.133,0.088
2026-08-17T17:25:00,2026-08-17T17:25:00,1,26.316,0.0,26.316,7.616,1,64.79,-76.2,-121.27,-107.64,-20.29,213.24,52.2,97.27,83.64,-3.71,-237.24,321.02,247.43,adverse,0.304,-0.375
2026-08-17T18:25:00,2026-08-17T18:25:00,1,22.666,0.0,22.666,9.121,1,55.45,-6.23,-59.77,-101.66,-107.24,-191.65,-17.77,35.77,77.66,83.24,167.65,34.85,227.29,adverse,0.057,-0.368
2026-08-17T23:35:00,2026-08-17T23:35:00,1,15.316,0.0,15.316,9.263,1,28.2,-64.97,-64.37,-56.59,-78.71,-135.77,40.97,40.37,32.59,54.71,111.77,24.05,141.33,adverse,-0.19,-0.473
2026-08-18T14:30:00,2026-08-18T14:30:00,2,51.612,0.0,51.612,10.169,1,85.97,-2.41,-189.84,-216.97,-278.09,-201.37,-21.59,165.84,192.97,254.09,177.37,74.6,342.4,adverse,-0.033,-0.415
2026-08-19T12:50:00,2026-08-19T12:50:00,2,29.699,0.0,29.699,10.147,1,62.44,-37.13,-150.28,-192.08,-26.67,64.5,13.13,126.28,168.08,2.67,-88.5,243.7,193.07,adverse,-1.288,0.017
2026-08-19T13:35:00,2026-08-19T13:35:00,1,17.059,0.0,17.059,11.883,1,63.61,12.51,-240.94,-14.66,69.03,298.62,-36.51,216.94,-9.34,-93.03,-322.62,429.45,253.44,adverse,0.261,-0.197
2026-08-19T13:55:00,2026-08-19T13:55:00,1,62.666,0.0,62.666,12.097,1,98.08,28.67,-18.01,363.2,408.13,749.73,-52.67,-5.99,-387.2,-432.13,-773.73,766.39,27.71,favourable,0.569,0.036
2026-08-19T14:10:00,2026-08-19T14:10:00,1,12.915,0.0,12.915,12.099,1,75.09,2.36,1.55,32.93,98.34,1127.54,-26.36,-25.55,-56.93,-122.34,-1151.54,1163.07,82.34,adverse,0.382,-0.298
2026-08-19T15:15:00,2026-08-19T15:15:00,5,345.103,1.799,343.304,12.436,1,134.66,108.35,11.79,1644.09,2003.11,1893.74,-132.35,-35.79,-1668.09,-2027.11,-1917.74,3767.37,71.24,favourable,0.545,-0.495
2026-08-19T15:35:00,2026-08-19T15:35:00,3,1305.594,26.033,1279.56,15.402,1,565.44,-248.3,134.33,-38.95,200.25,259.2,224.3,-158.33,14.95,-224.25,-283.2,516.25,303.92,none,0.7,0.133
2026-08-19T20:55:00,2026-08-19T20:55:00,1,78.878,0.585,78.293,15.956,1,133.64,-29.26,-78.7,503.74,404.11,636.13,5.26,54.7,-527.74,-428.11,-660.13,969.48,133.59,favourable,-0.474,-0.04
2026-08-19T21:10:00,2026-08-19T21:10:00,1,63.227,1.576,61.65,16.208,1,198.45,-212.25,-197.31,-111.63,-145.48,-214.01,188.25,173.31,87.63,121.48,190.01,453.74,471.19,adverse,0.534,-0.102
2026-08-19T21:50:00,2026-08-19T21:50:00,1,25.666,1.586,24.08,16.471,1,161.57,-107.69,-79.46,-325.32,-563.78,-657.48,83.69,55.46,301.32,539.78,633.48,36.39,858.9,adverse,0.347,0.124
2026-08-20T08:20:00,2026-08-20T08:20:00,3,106.181,0.0,106.181,16.345,1,294.19,-79.63,-155.93,-47.1,302.29,548.76,55.63,131.93,23.1,-326.29,-572.76,734.53,228.79,favourable,0.338,-0.14
