det_utc,dir_trade,burst_btc,thr_btc,d0_h30,d0_h60,d0_h120,d0_h300,d5_h30,d5_h60,d5_h120,d5_h300,d10_h30,d10_h60,d10_h120,d10_h300,d20_h30,d20_h60,d20_h120,d20_h300,d30_h30,d30_h60,d30_h120,d30_h300,d60_h30,d60_h60,d60_h120,d60_h300
2026-07-31T13:46:40.805,1,7.65,6.331,-29.42,-76.97,-134.58,-155.38,-66.14,-86.86,-137.36,-155.95,-42.17,-78.1,-127.03,-114.41,-46.78,-62.81,-94.97,-119.83,-65.42,-92.71,-124.42,-136.08,-39.29,-45.6,5.43,-59.98
2026-07-31T14:03:34.364,1,12.523,8.379,-54.76,-137.41,-243.1,-531.59,-73.25,-104.74,-218.05,-544.75,-69.61,-103.62,-214.21,-535.93,-98.2,-110.99,-196.94,-500.76,-80.36,-151.98,-206.04,-491.14,-69.96,-118.97,-198.24,-413.58
2026-08-01T18:31:14.391,1,25.388,25.013,-8.4,15.52,21.1,132.18,5.15,42.56,34.22,153.6,-12.91,18.71,9.34,141.75,12.89,33.81,-2.78,124.7,11.92,86.43,75.25,168.8,62.51,-6.42,50.14,142.85
2026-08-02T18:41:53.453,-1,52.54,24.955,51.01,27.61,99.41,153.95,25.96,27.96,102.74,145.91,-6.39,36.72,78.1,121.12,9.42,66.7,89.44,128.33,-35.4,50.55,64.39,91.34,73.95,61.98,59.3,148.51
2026-08-07T12:55:35.811,-1,20.552,20.315,57.37,91.35,92.08,85.13,73.37,97.55,97.97,112.93,41.55,79.12,75.34,87.14,19.81,55.56,50.55,67.19,23.29,13.55,44.25,57.34,-34.05,-23.59,1.66,48.71
2026-08-10T01:50:14.602,-1,12.764,10.614,-4.25,24.97,21.06,91.33,71.15,102.21,90.14,151.64,116.24,130.66,102.62,166.35,61.57,97.8,98.03,150.75,17.24,57.46,65.66,97.84,24.49,-15.9,40.32,76.82
2026-08-10T13:35:01.842,1,14.928,10.508,15.39,83.18,125.51,20.56,44.11,110.18,150.63,11.57,20.53,58.16,116.47,-57.38,8.17,62.57,67.03,-86.4,54.87,91.65,83.51,-35.47,23.86,30.33,-12.91,-106.32
2026-08-10T13:49:37.309,1,11.588,10.819,-3.63,12.64,11.23,5.41,0.62,22.28,44.78,3.96,-1.72,27.3,35.51,-0.14,-11.68,13.28,20.62,-46.8,4.27,21.58,3.0,-28.31,5.34,-13.35,-14.94,-63.23
2026-08-10T15:26:01.680,1,18.461,10.991,-24.24,-37.63,11.52,33.54,-30.87,-20.32,0.9,37.81,-51.3,-10.49,0.64,25.52,-22.81,10.77,38.72,35.95,-26.26,9.74,30.05,20.17,16.82,27.96,31.03,51.14
2026-08-10T16:21:56.082,1,12.409,11.003,19.37,22.36,67.82,120.42,-9.22,12.48,58.84,99.52,-5.56,14.21,73.7,104.13,-1.39,8.35,81.57,101.76,-6.42,0.54,78.05,92.33,-4.18,27.52,71.61,71.92
2026-08-10T16:53:47.062,1,19.0,11.201,-26.19,-48.0,-65.02,-6.15,-37.76,-57.88,-63.35,-0.09,-41.15,-58.77,-60.26,-0.76,-28.09,-39.81,-51.97,7.45,-35.98,-27.28,-35.65,14.03,-6.43,-33.89,-17.08,48.82
2026-08-10T18:38:03.035,1,16.883,12.617,3.61,16.77,5.09,9.8,-3.08,1.62,7.51,10.38,-15.27,-18.5,-11.35,9.38,-12.15,-0.2,-15.76,2.7,-10.72,-14.46,-14.41,12.42,-27.62,-23.68,-26.03,-6.08
