set,slot_utc,r5_pct,dOI_pct,entry,entry_delay_s,n1,n5,n15,n30,n60,mfe,mae,atr,fp0.5,fp1.0,imb,liq_btc
primary,2026-08-04T23:20:00,-0.245,-0.958,64254.1,30.727,-10.17,-140.46,-96.66,-184.94,-280.48,27.7,306.7,84.7,adv,adv,-0.498,0.0
primary,2026-08-05T10:45:00,-0.209,-0.052,64027.93,30.131,-15.57,-37.94,23.96,-19.92,-3.23,64.9,76.5,61.0,adv,adv,0.378,0.0
primary,2026-08-05T15:10:00,-0.118,-0.403,64546.66,30.207,-123.41,-36.1,-79.37,-102.58,-30.98,141.3,227.6,146.9,adv,adv,-0.393,5.3
primary,2026-08-05T18:05:00,-0.146,-0.187,64623.99,30.911,27.2,106.76,-1.68,99.74,179.58,244.8,16.0,70.4,fav,fav,-0.271,0.0
primary,2026-08-06T14:45:00,-0.152,-0.419,64659.26,30.525,-24.31,-2.36,36.18,3.6,132.36,266.1,53.0,132.1,fav,fav,-0.233,0.14
primary,2026-08-07T00:10:00,-0.123,-0.159,64215.06,30.162,-18.68,-26.26,-21.98,62.53,67.6,189.1,48.3,54.8,adv,fav,0.254,0.0
primary,2026-08-07T02:20:00,-0.131,-0.077,64273.74,30.93,6.01,-15.23,-50.48,94.92,-35.04,140.2,79.8,91.3,adv,fav,-0.197,0.0
primary,2026-08-07T13:55:00,-0.18,-0.086,64974.74,30.546,-25.86,-141.29,-208.26,121.97,-53.05,253.3,244.0,142.9,adv,adv,-0.355,0.07
primary,2026-08-07T17:10:00,-0.14,-0.3,64628.1,30.04,2.18,38.79,-79.48,26.06,174.75,210.5,165.0,85.6,fav,adv,0.223,0.01
primary,2026-08-09T22:15:00,-0.148,-0.128,65269.05,30.973,-24.26,-95.58,-258.75,-305.41,-327.24,17.1,358.1,64.1,adv,adv,-0.41,0.0
primary,2026-08-10T09:45:00,-0.121,-0.073,64936.17,30.76,-21.79,-28.62,54.15,29.11,47.95,84.6,40.6,51.7,adv,fav,0.104,0.22
