set,slot_utc,robust,entry,entry_delay,spread,hour,r5,dOI,imb,liq,rng24,d_hi,d_lo,atr,mfe,t_mfe,mae,t_mae,fp0.5,fp1.0,n1,n5,n15,n30,n60
primary,2026-08-04T13:15:00,0,63822.91,31.005,7.0,13.0,-0.0012,-0.0001,0.1423,0.0,29.06,2.0531,1.2581,83.005,209.79,22.751,289.42,40.0692,fav,fav,73.17,31.53,77.88,-6.04,-226.27
primary,2026-08-04T14:15:00,1,63607.43,30.495,7.0,14.0,-0.0023,-0.0,-0.1236,0.0,29.03,2.7096,0.4451,158.2414,558.67,43.8424,20.31,0.2125,fav,fav,9.14,63.83,243.47,391.36,348.49
primary,2026-08-04T15:30:00,1,63804.64,30.065,7.0,15.0,-0.0016,-0.0015,0.0566,0.0913,28.775,2.8896,0.4244,126.3014,367.56,13.7385,56.25,0.513,fav,fav,-36.67,45.06,257.86,155.39,163.2
primary,2026-08-04T16:50:00,0,63869.27,31.316,7.0,16.0,-0.0014,0.0019,-0.6212,0.0,28.615,2.7841,0.3065,96.7779,260.91,13.1473,38.93,57.2518,fav,fav,-2.66,42.39,161.91,112.28,59.69
primary,2026-08-04T20:00:00,1,64125.47,30.386,7.0,20.0,-0.0015,,-0.0297,0.0031,28.92,3.0645,0.7084,81.9436,257.32,38.3099,188.13,11.5703,adv,adv,2.89,0.01,-131.31,8.57,124.53
primary,2026-08-04T21:10:00,0,64191.74,30.269,7.0,21.0,-0.0014,-0.0001,0.0798,0.0,29.085,2.4027,3.0987,80.9707,48.48,9.614,114.98,47.7623,adv,adv,-12.83,-42.02,3.66,-39.02,-28.29
primary,2026-08-04T23:20:00,1,64254.1,30.727,7.0,23.0,-0.0024,-0.0096,-0.4983,0.0,28.8,2.8791,1.5798,84.7379,27.72,0.3763,306.68,52.3847,adv,adv,-10.17,-140.46,-96.66,-184.94,-280.48
primary,2026-08-05T00:45:00,0,63959.06,31.011,7.0,0.0,-0.0012,-0.0002,0.129,0.043,29.03,2.653,0.4057,70.3171,292.01,49.7469,66.49,12.1041,adv,fav,-2.25,-9.08,-26.61,24.44,241.56
primary,2026-08-05T02:15:00,1,64319.4,30.729,7.0,2.0,-0.0019,0.0009,-0.0518,0.011,28.83,1.4268,3.7637,99.6107,118.29,5.4676,256.97,58.9225,fav,fav,39.82,65.91,85.94,47.63,-239.79
primary,2026-08-05T03:15:00,1,64091.6,30.137,7.0,3.0,-0.0036,0.0003,0.1444,0.0003,29.085,3.7129,0.2726,94.1557,52.97,40.1781,100.15,9.7703,adv,adv,-32.99,-65.23,-8.81,14.62,38.02
primary,2026-08-05T08:40:00,1,64053.71,30.221,7.0,8.0,-0.0015,,-0.5771,0.0,29.435,2.3179,1.4128,73.0129,103.7,53.3046,21.57,17.1052,fav,fav,19.42,29.42,-1.13,6.5,54.3
primary,2026-08-05T10:45:00,1,64027.93,30.131,7.0,10.0,-0.0021,-0.0005,0.3777,0.0,29.32,2.7419,0.8658,61.0079,64.87,44.0691,76.53,2.0909,adv,adv,-15.57,-37.94,23.96,-19.92,-3.23
primary,2026-08-05T12:30:00,0,64365.79,30.046,7.0,12.0,-0.0013,0.0032,0.3373,0.0,29.0,1.8493,3.9926,95.0443,94.7,6.1131,543.98,58.932,fav,adv,34.36,27.93,-12.57,-143.58,-497.65
primary,2026-08-05T13:30:00,1,63880.14,30.113,7.0,13.0,-0.0034,,-0.0587,5.7455,28.895,5.5934,0.5253,104.3821,646.81,43.9791,66.75,1.1767,adv,fav,-37.36,336.23,290.11,566.46,448.19
primary,2026-08-05T15:10:00,0,64546.66,30.207,7.0,15.0,-0.0012,-0.004,-0.393,5.2978,28.96,1.1529,2.0788,146.9371,141.33,23.8069,227.56,44.234,adv,adv,-123.41,-36.1,-79.37,-102.58,-30.98
primary,2026-08-05T18:05:00,1,64623.99,30.911,7.0,18.0,-0.0015,-0.0019,-0.2705,0.0004,28.8,1.7681,2.0757,70.4257,244.75,54.4747,16.03,0.114,fav,fav,27.2,106.76,-1.68,99.74,179.58
primary,2026-08-05T20:45:00,0,64860.46,30.801,7.0,20.0,-0.0012,0.0005,-0.0058,0.0,27.775,2.0242,1.5847,68.6486,-7.0,0.0,265.74,39.1594,adv,adv,-30.42,-62.85,-138.81,-178.42,-200.49
primary,2026-08-06T05:25:00,0,64833.77,30.325,7.0,5.0,-0.0013,0.0007,0.1256,0.0,26.17,1.4662,3.6226,73.5386,21.84,1.63,158.37,47.5476,adv,adv,-1.55,12.58,8.88,-31.81,-77.06
primary,2026-08-06T12:05:00,0,64419.44,30.025,7.0,12.0,-0.0013,0.0017,0.1253,0.5212,25.285,3.0771,0.3245,56.1471,104.46,29.4722,296.94,58.9287,adv,fav,-10.9,-5.37,43.53,69.74,-280.67
primary,2026-08-06T13:05:00,1,64150.77,31.056,7.0,13.0,-0.0025,-0.0002,-0.0606,8.9161,24.865,4.8191,0.3169,78.1536,301.96,45.8649,61.87,22.8128,fav,fav,28.1,13.08,-26.95,131.28,258.12
primary,2026-08-06T14:45:00,1,64659.26,30.525,7.0,14.0,-0.0015,-0.0042,-0.2332,0.1401,24.86,0.9568,2.8332,132.1136,266.1,19.8348,52.99,0.3978,fav,fav,-24.31,-2.36,36.18,3.6,132.36
primary,2026-08-06T15:50:00,1,64605.48,30.718,7.0,15.0,-0.0024,0.0003,0.1494,0.0,24.865,2.6419,0.3678,122.405,112.44,56.8387,80.2,20.6822,adv,neither,-38.75,-62.16,19.78,-46.97,62.98
primary,2026-08-06T17:35:00,0,64529.5,30.419,7.0,17.0,-0.0012,0.0004,0.0944,0.0,24.815,3.3928,0.2394,74.0714,65.75,17.6032,157.66,59.6475,adv,adv,-42.3,8.97,38.09,-96.52,-159.0
primary,2026-08-07T00:10:00,0,64215.06,30.162,7.0,0.0,-0.0012,-0.0016,0.2536,0.0,23.435,2.6335,1.4606,54.8479,189.07,48.1194,48.34,0.5399,adv,fav,-18.68,-26.26,-21.98,62.53,67.6
primary,2026-08-07T01:35:00,1,64254.75,30.214,7.0,1.0,-0.0017,0.0004,-0.1966,0.0,23.805,1.9915,0.7862,82.8579,235.4,36.0585,62.8,30.7713,fav,fav,33.56,80.44,92.52,0.33,-31.48
primary,2026-08-07T12:30:00,1,65027.09,30.455,7.0,12.0,-0.002,0.0,-0.0947,7.7288,25.31,2.6946,1.0051,96.8886,321.41,20.1151,78.22,1.542,adv,fav,-48.74,69.28,202.28,219.41,195.52
primary,2026-08-07T13:45:00,0,65201.56,30.521,7.0,13.0,-0.0013,0.0,0.1845,0.0,26.105,1.1481,1.1245,131.0364,37.02,0.5304,470.83,22.2258,adv,adv,-94.28,-124.75,-368.11,-253.3,-149.17
primary,2026-08-07T14:50:00,0,64953.57,30.595,7.0,14.0,-0.0014,0.0002,0.0424,0.0037,26.19,1.7741,1.3997,156.7093,133.7,37.4137,122.69,9.4774,adv,neither,4.86,-31.88,17.61,21.01,-75.91
primary,2026-08-07T17:10:00,0,64628.1,30.04,7.0,17.0,-0.0014,-0.003,0.2226,0.0073,25.655,4.4536,0.0693,85.5736,210.49,56.5643,164.97,17.6057,fav,adv,2.18,38.79,-79.48,26.06,174.75
primary,2026-08-09T01:25:00,0,64831.06,30.431,7.0,1.0,-0.0013,-0.0002,0.699,0.0,8.96,4.6717,1.1212,27.855,12.43,6.5399,80.41,36.4569,adv,adv,-5.34,-9.25,1.02,-27.34,-57.99
primary,2026-08-09T22:15:00,1,65269.05,30.973,7.0,22.0,-0.0015,-0.0013,-0.4103,0.0,9.44,2.7186,3.1145,64.0614,17.07,0.553,358.06,31.2264,adv,adv,-24.26,-95.58,-258.75,-305.41,-327.24
primary,2026-08-10T00:20:00,1,64963.79,30.922,7.0,0.0,-0.0016,0.0007,0.2385,0.0,10.4,3.0899,1.753,100.2521,51.18,51.513,194.95,19.1876,adv,adv,1.34,-21.36,-110.25,5.16,25.93
primary,2026-08-10T02:15:00,1,64907.2,30.462,7.0,2.0,-0.0027,0.0009,-0.544,0.0137,11.2,4.3544,0.6326,102.5443,256.23,23.9339,61.66,5.6426,adv,fav,-18.74,-41.04,15.97,169.5,88.87
primary,2026-08-10T07:45:00,0,65213.09,30.916,7.0,7.0,-0.0012,0.0011,0.2343,0.0,15.52,2.286,0.6532,50.0164,62.93,36.3313,81.55,52.4951,adv,adv,-25.51,-61.42,7.54,2.84,-68.96
primary,2026-08-10T09:45:00,0,64936.17,30.76,7.0,9.0,-0.0012,-0.0007,0.1039,0.2189,16.94,5.4586,0.5827,51.7421,84.55,15.7025,40.6,4.7911,adv,fav,-21.79,-28.62,54.15,29.11,47.95
primary,2026-08-10T13:30:00,1,64636.49,30.613,7.0,13.0,-0.0038,-0.0003,-0.2327,3.8084,19.735,3.7373,0.5239,90.2593,168.58,59.9326,192.61,18.1431,fav,fav,79.6,-18.26,-132.88,-3.21,158.4
primary,2026-08-10T14:50:00,1,64629.14,30.654,7.0,14.0,-0.0014,-0.001,0.3081,0.0,21.2,1.7509,1.5469,116.0357,30.43,15.9033,500.06,58.1831,adv,adv,-22.05,-66.83,-17.14,-312.04,-461.22
