set,shock_utc,t_entry,entry,R,flush_low,same_bar,min_to_flush,min_flush_to_reclaim,depth,depth_atr,body,rng,spread,vol24,hour,bos,fp05,fp10,fp15,mfe,mae,n5,n15,n30,n60
reclaim,2026-01-04T11:50:00,1767527760,91228.53,34.64999999999418,91193.88,True,0.0,1.0,2.6599999999889405,0.036395621579207144,2.8800000000046566,21.929999999993015,12.60000000000097,28.930000000007567,11,False,fav,fav,fav,102.30000000000291,194.35000000000582,2.9499999999970896,-23.410000000003492,42.63000000000466,-113.30999999999767
reclaim,2026-01-04T16:05:00,1767543360,91246.37000000001,44.01000000000931,91202.36,True,5.0,1.0,6.240000000005239,0.0770064789105511,13.39000000001397,56.220000000001164,12.599999999998753,31.139999999999418,16,False,fav,fav,fav,158.9199999999837,42.620000000009895,23.40999999998894,27.80999999998312,23.889999999984866,66.27999999998428
reclaim,2026-01-04T22:10:00,1767565020,91174.56000000001,74.90000000000873,91099.66,False,0.0,2.0,8.459999999991851,0.11932659661272108,61.90000000000873,77.53000000001339,12.600000000001662,33.05999999999767,22,False,fav,fav,fav,335.5299999999843,45.810000000012224,9.669999999983702,63.839999999981956,6.029999999984284,131.49999999998545
reclaim,2026-01-05T01:50:00,1767578400,92954.87000000001,65.25000000001455,92889.62,False,3.0,2.0,46.04000000000815,0.16652758365006812,17.05999999999767,58.41000000000349,12.600000000000488,34.529999999998836,2,False,fav,fav,fav,178.64999999999418,264.5300000000134,36.939999999987776,-120.35000000000582,-249.99000000000524,33.979999999995925
reclaim,2026-01-05T03:05:00,1767582720,92979.40000000001,50.13000000000466,92929.27,True,1.0,1.0,20.319999999992433,0.12609929078009488,1.7200000000011642,41.05999999999767,12.600000000000803,35.95000000001164,3,False,adv,adv,adv,118.06999999999243,206.86000000001513,-40.310000000012224,-61.68000000000757,-29.310000000012224,-211.69000000000233
reclaim,2026-01-05T04:20:00,1767587160,92557.31000000001,17.500000000014552,92539.81,True,0.0,1.0,3.0100000000093132,0.03303802430429703,57.98999999999069,106.49000000000524,12.599999999999929,36.30000000000291,4,False,adv,adv,adv,131.22999999998137,268.91000000001804,-167.00000000001455,-83.44000000001688,11.14999999999418,114.80999999998312
reclaim,2026-01-05T05:50:00,1767592800,92338.14,35.0,92303.14,True,4.0,1.0,10.360000000000582,0.1012686509848328,14.44999999999709,38.11000000000058,12.600000000000364,38.05999999999767,6,False,fav,fav,fav,129.24000000000524,247.5399999999936,19.320000000006985,50.229999999995925,-102.31999999999243,100.11000000000058
reclaim,2026-01-05T08:35:00,1767602460,92462.07,22.14000000001397,92439.93,True,0.0,1.0,3.790000000008149,0.05646362746361848,3.4499999999970896,34.04000000000815,12.599999999999868,36.41500000000087,8,False,adv,adv,adv,153.64999999999418,190.31000000001222,-15.880000000004657,33.70999999999185,-44.16000000000349,120.46999999998661
reclaim,2026-01-05T10:40:00,1767609960,92898.35,99.65000000000873,92798.7,True,0.0,1.0,0.7799999999988358,0.006401876007611672,84.69000000000233,84.69000000000233,12.600000000001144,36.75,10,True,fav,fav,fav,212.70999999999185,61.10000000000582,81.11999999999534,73.93999999998778,-47.220000000001164,48.08999999999651
reclaim,2026-01-05T13:40:00,1767623880,92629.39,271.179999999993,92358.21,False,50.0,3.0,123.86999999999534,1.1475136476426258,167.1999999999971,173.63000000000466,12.599999999999765,39.63500000000204,14,False,fav,fav,fav,1140.070000000007,12.60000000000582,464.3399999999965,723.7100000000064,589.9300000000076,961.3399999999965
